"Player","Team","Position","Year","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned","+/-","GP","FRTDY","Int","IntYd","Sk","SkY","Tk","Stf","StY","Sft","RtTY","BFGTDY","TD"
"Bush, Devin","Mich","LB","Jr","127","FA","@ND Sat 7:30PM","0","0","9","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Butler, Jabari","PSU","DB","Jr","128","FA","App Sat 3:30PM","0","0","6","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Butler, Josh","MSU","DB","Jr","129","FA","UtSt Fri 7:00PM","0","0","3","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Butler, Tony","Neb","DB","So","130","FA","Akr Sat 8:00PM","0","0","9","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cage, Jerron","OHSt","DL","Fr","131","FA","OreSt Sat 12:00PM","0","0","9","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Campbell, Chance","MD","LB","Fr","132","WW","Tex Sat 12:00PM","0","0","5","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Campbell, Roderick","NW","DB","Jr","133","FA","@Purd Thu 8:00PM","0","0","4","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Campos, Ben","Iowa","LB","Fr","134","FA","NIU Sat 3:30PM","0","0","5","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Carlson, John","Iowa","LB","Fr","135","WW","NIU Sat 3:30PM","0","0","5","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Carney Jr., Owen","Ill","DL","So","136","FA","Kent Sat 12:00PM","0","0","5","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Carnifax, Tommy","NW","DL","So","137","FA","@Purd Thu 8:00PM","0","0","4","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Carriere-Williams, Dontye","Wisc","DB","So","138","FA","W Ky Fri 9:00PM","0","0","5","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Casey, Aaron","Ind","LB","Fr","139","WW","@FLInt Sat 7:00PM","0","0","10","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cashman, Blake","Minn","LB","Sr","140","FA","NMSt Thu 7:00PM","0","0","5","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cason, Tim","Purd","DB","Sr","141","FA","NW Thu 8:00PM","0","0","6","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cassidy, Chris","Neb","LB","Fr","142","FA","Akr Sat 8:00PM","0","0","9","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Castro-Fields, Tariq","PSU","DB","So","143","FA","App Sat 3:30PM","0","0","6","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cesarz, Ethan","Wisc","LB","Fr","144","FA","W Ky Fri 9:00PM","0","0","5","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chamberlain, Bryce","Mich","LB","Fr","145","WW","@ND Sat 7:30PM","0","0","9","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chizmar, Max","PSU","LB","Fr","146","FA","App Sat 3:30PM","0","0","6","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Clark, Braxton","Neb","DB","Fr","147","FA","Akr Sat 8:00PM","0","0","9","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cochran, Tyler","Mich","DB","Jr","148","FA","@ND Sat 7:30PM","0","0","9","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Coghlan, Sean","Ill","LB","Fr","149","FA","Kent Sat 12:00PM","0","0","5","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Colbert, Djimon","Iowa","LB,DB","Fr","150","FA","NIU Sat 3:30PM","0","0","5","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cone, Madison","Wisc","DB","So","151","FA","W Ky Fri 9:00PM","0","0","5","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Connelly, Ryan","Wisc","LB","Sr","152","FA","W Ky Fri 9:00PM","0","0","5","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cook, Wyatt","MD","LB","Sr","153","WW","Tex Sat 12:00PM","0","0","5","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cooper, Jake","PSU","LB","Sr","154","FA","App Sat 3:30PM","0","0","6","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cooper, Jonathon","OHSt","DL","Jr","155","FA","OreSt Sat 12:00PM","0","0","9","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cornell, Jashon","OHSt","DL","Jr","156","FA","OreSt Sat 12:00PM","0","0","9","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Coughlin, Carter","Minn","LB","Jr","157","FA","NMSt Thu 7:00PM","0","0","5","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cowart, Byron","MD","DL","Jr","158","FA","Tex Sat 12:00PM","0","0","5","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cox, Aaron","OHSt","DL","So","159","FA","OreSt Sat 12:00PM","0","0","9","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cox, Ethan","Neb","DB","Fr","160","FA","Akr Sat 8:00PM","0","0","9","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Craddieth, Dallas","Iowa","DB","Fr","161","FA","NIU Sat 3:30PM","0","0","5","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cravaack, Jack","Purd","DL","Fr","162","WW","NW Thu 8:00PM","0","0","6","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Crawford, Jonathan","Ind","DB","Sr","163","FA","@FLInt Sat 7:00PM","0","0","10","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Creamer, Trey","Iowa","DB","Fr","164","FA","NIU Sat 3:30PM","0","0","5","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Criddle, Alex","Purd","DL","Jr","165","FA","NW Thu 8:00PM","0","0","6","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Culpepper, Judge","PSU","DL","Fr","166","FA","App Sat 3:30PM","0","0","6","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Currens, Seth","Wisc","DB","So","167","FA","W Ky Fri 9:00PM","0","0","5","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Daniel II, PC","Ill","DB","Fr","168","FA","Kent Sat 12:00PM","0","0","5","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Daniels, Allen","Purd","DL","Fr","169","FA","NW Thu 8:00PM","0","0","6","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Daniels, Damion","Neb","DL","Fr","170","FA","Akr Sat 8:00PM","0","0","9","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Daniels, Joseph","Ind","DB","Fr","171","WW","@FLInt Sat 7:00PM","0","0","10","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Davis, Alex","Neb","LB","Jr","172","FA","Akr Sat 8:00PM","0","0","9","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Davis, Carlos","Neb","DL","Jr","173","FA","Akr Sat 8:00PM","0","0","9","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Davis, Isaiah","MD","LB","Jr","174","FA","Tex Sat 12:00PM","0","0","5","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Davis, Jared","Mich","DB","So","175","FA","@ND Sat 7:30PM","0","0","9","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Davis, Khalil","Neb","DL","Jr","176","FA","Akr Sat 8:00PM","0","0","9","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
