"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned","+/-","GP","PA","YdA","Stf","Sk","Sft","FF","FR","Int","TDDST","XPB","FGBA"
"Ohio State","OHSt","DST","1","FA","OreSt Sat 12:00PM","242","18.62","9","100%","0%","13","166","2,744","0","0","0","0","0","11","0","0","0"
"Penn State","PSU","DST","2","FA","App Sat 3:30PM","202","15.54","6","100%","0%","13","228","3,685","0","0","0","0","0","11","0","0","0"
"Michigan","Mich","DST","3","FA","@ND Sat 7:30PM","180","13.85","9","100%","0%","13","278","4,159","0","0","0","0","0","14","0","0","0"
"Illinois","Ill","DST","4","FA","Kent Sat 12:00PM","170","13.08","5","0%","0%","13","283","4,621","0","0","0","0","0","17","0","0","0"
"Iowa","Iowa","DST","5","FA","NIU Sat 3:30PM","168","14","5","0%","0%","12","225","4,017","0","0","0","0","0","14","0","0","0"
"Rutgers","Rut","DST","6","FA","TxSt Sat 12:00PM","162","12.46","9","0%","0%","13","292","3,980","0","0","0","0","0","9","0","0","0"
"Maryland","MD","DST","7","FA","Tex Sat 12:00PM","156","12","5","0%","0%","13","280","4,467","0","0","0","0","0","13","0","0","0"
"Wisconsin","Wisc","DST","8","FA","W Ky Fri 9:00PM","148","11.38","5","100%","0%","13","301","4,437","0","0","0","0","0","12","0","0","0"
"Indiana","Ind","DST","9","FA","@FLInt Sat 7:00PM","142","10.92","10","0%","0%","13","370","4,964","0","0","0","0","0","19","0","0","0"
"Michigan State","MSU","DST","10","FA","UtSt Fri 7:00PM","140","10.77","3","100%","0%","13","346","4,190","0","0","0","0","0","12","0","0","0"
"Purdue","Purd","DST","11","FA","NW Thu 8:00PM","130","10","6","100%","0%","13","345","4,852","0","0","0","0","0","14","0","0","0"
"Northwestern","NW","DST","12","FA","@Purd Thu 8:00PM","98","8.17","4","0%","0%","12","372","4,818","0","0","0","0","0","9","0","0","0"
"Nebraska","Neb","DST","13","FA","Akr Sat 8:00PM","66","5.5","9","0%","0%","12","455","5,628","0","0","0","0","0","8","0","0","0"
"Minnesota","Minn","DST","14","FA","NMSt Thu 7:00PM","50","4.17","5","0%","0%","12","440","6,130","0","0","0","0","0","7","0","0","0"
