"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned","+/-","GP","PA","YdA","Stf","Sk","Sft","FF","FR","Int","TDDST","XPB","FGBA"
"Ohio State","OHSt","DST","1","FA","OreSt Sat 12:00PM","418","27.87","9","100%","0%","15","330","5,132","0","45","1","19","8","25","7","0","0"
"Michigan State","MSU","DST","2","FA","UtSt Fri 7:00PM","382","29.38","3","100%","0%","13","280","4,105","0","42","0","22","16","18","4","0","0"
"Wisconsin","Wisc","DST","3","FA","W Ky Fri 9:00PM","310","22.14","5","100%","0%","14","291","4,117","0","37","1","20","11","6","0","0","0"
"Minnesota","Minn","DST","4","FA","NMSt Thu 7:00PM","306","23.54","5","0%","0%","13","314","4,786","0","27","0","29","15","15","4","0","0"
"Penn State","PSU","DST","5","FA","App Sat 3:30PM","304","23.38","6","100%","0%","13","242","3,623","0","31","0","13","5","16","2","0","0"
"Nebraska","Neb","DST","6","FA","Akr Sat 8:00PM","280","21.54","9","0%","0%","13","343","4,988","0","30","0","20","10","13","5","0","0"
"Maryland","MD","DST","7","FA","Tex Sat 12:00PM","254","19.54","5","0%","0%","13","392","5,671","0","32","0","21","13","9","5","0","0"
"Iowa","Iowa","DST","8","FA","NIU Sat 3:30PM","246","18.92","5","0%","0%","13","333","4,475","0","27","1","11","3","13","4","0","0"
"Northwestern","NW","DST","9","FA","@Purd Thu 8:00PM","244","20.33","4","0%","0%","12","302","4,611","0","17","0","20","12","15","3","0","0"
"Michigan","Mich","DST","10","FA","@ND Sat 7:30PM","218","18.17","9","100%","0%","12","269","3,736","0","29","1","9","5","5","2","0","0"
"Rutgers","Rut","DST","11","FA","TxSt Sat 12:00PM","204","15.69","9","0%","0%","13","392","5,766","0","32","0","22","11","7","0","1","0"
"Illinois","Ill","DST","12","FA","Kent Sat 12:00PM","198","15.23","5","0%","0%","13","442","5,933","0","23","1","21","12","7","4","0","0"
"Purdue","Purd","DST","13","FA","NW Thu 8:00PM","174","14.5","6","100%","0%","12","380","4,992","0","20","0","17","9","10","1","0","0"
"Indiana","Ind","DST","14","FA","@FLInt Sat 7:00PM","174","14.5","10","0%","0%","12","394","5,205","0","23","0","9","4","13","1","0","0"
