"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned","+/-","GP","PA","YdA","Stf","Sk","Sft","FF","FR","Int","TDDST","XPB","FGBA"
"Rutgers","Rut","DST","1","FA","TxSt Sat 12:00PM","394","30.31","9","0%","0%","13","184","4,051","0","26","0","26","14","18","7","0","0"
"Northwestern","NW","DST","2","FA","@Purd Thu 8:00PM","316","24.31","4","0%","0%","13","293","4,916","0","28","1","28","16","13","5","0","0"
"Nebraska","Neb","DST","3","FA","Akr Sat 8:00PM","310","22.14","9","0%","0%","14","386","5,049","0","31","1","21","10","13","4","0","0"
"Michigan State","MSU","DST","4","FA","UtSt Fri 7:00PM","284","21.85","3","100%","0%","13","212","3,582","0","20","1","13","6","14","0","0","0"
"Wisconsin","Wisc","DST","5","FA","W Ky Fri 9:00PM","282","20.14","5","100%","0%","14","268","4,516","0","31","0","19","7","8","2","2","0"
"Penn State","PSU","DST","6","FA","App Sat 3:30PM","278","23.17","6","100%","0%","12","229","4,241","0","34","0","19","12","10","2","0","0"
"Ohio State","OHSt","DST","7","FA","OreSt Sat 12:00PM","270","22.5","9","100%","0%","12","274","4,315","0","30","0","15","7","14","6","0","0"
"Michigan","Mich","DST","8","FA","@ND Sat 7:30PM","264","20.31","9","100%","0%","13","258","4,160","0","22","0","22","11","7","1","0","0"
"Purdue","Purd","DST","9","FA","NW Thu 8:00PM","250","19.23","6","100%","0%","13","406","5,406","0","22","1","20","11","14","4","3","0"
"Minnesota","Minn","DST","10","FA","NMSt Thu 7:00PM","244","18.77","5","0%","0%","13","321","4,672","0","26","1","19","7","13","2","0","0"
"Maryland","MD","DST","11","FA","Tex Sat 12:00PM","240","20","5","0%","0%","12","326","4,042","0","27","1","23","16","4","2","0","0"
"Illinois","Ill","DST","12","FA","Kent Sat 12:00PM","232","19.33","5","0%","0%","12","385","4,651","0","22","0","28","11","7","2","0","0"
"Iowa","Iowa","DST","13","FA","NIU Sat 3:30PM","228","19","5","0%","0%","12","275","4,579","0","13","0","18","13","10","4","0","0"
"Indiana","Ind","DST","14","FA","@FLInt Sat 7:00PM","166","13.83","10","0%","0%","12","423","5,562","0","26","0","15","6","7","1","0","0"
