"Player","Team","Position","Year","Rk","Status","Opponent","FPts","FP/G","%D","ADP","Bye","% Owned"
"Sykes, Nile","Ind","DL","Sr","58","FA","@FLInt Sat 7:00PM","112","10.18","0%","-","10","-"
"Hampton, Saquan","Rut","DB","Sr","59","FA","TxSt Sat 12:00PM","111.5","15.93","0%","-","9","-"
"Wharton, Isaiah","Rut","DB","Sr","60","FA","TxSt Sat 12:00PM","110.5","9.21","0%","-","9","-"
"Rescigno, Giovanni","Rut","QB,FLX","Sr","61","FA","TxSt Sat 12:00PM","109.5","15.64","0%","-","9","0%"
"Morgan, Teldrick","MD","WR,FLX","Sr","62","FA","Tex Sat 12:00PM","107","8.23","0%","-","5","0%"
"Jones, Markell","Purd","RB,FLX","Sr","63","FA","NW Thu 8:00PM","102","9.27","7%","-","6","0%"
"Reid, John","PSU","DB","Jr","64","FA","App Sat 3:30PM","100.4","7.17","0%","-","6","-"
"Harrison III, Lorenzo","MD","RB,FLX","Jr","65","FA","Tex Sat 12:00PM","99.5","11.06","0%","-","5","0%"
"Riggins, A'Shon","Ind","DB","Jr","66","FA","@FLInt Sat 7:00PM","99.1","8.26","0%","-","10","-"
"Evans, Chris","Mich","RB,FLX","Jr","67","FA","@ND Sat 7:30PM","99","7.62","100%","169.99","9","0%"
"Austin, Blessuan","Rut","DB","Sr","68","FA","TxSt Sat 12:00PM","99","9","0%","-","9","-"
"Mosley, Navon","Purd","DB","Jr","69","FA","NW Thu 8:00PM","98","8.17","0%","-","6","-"
"Maddox-Williams, Tyreek","Rut","LB","So","70","FA","TxSt Sat 12:00PM","97.5","10.83","0%","-","9","-"
"McGee, Jared","NW","DB","Sr","71","FA","@Purd Thu 8:00PM","97.5","8.12","0%","-","4","-"
"Brown, Torrence","PSU","DL","Sr","72","FA","App Sat 3:30PM","95.9","7.38","0%","-","6","-"
"Sanders, Miles","PSU","RB,FLX","Jr","73","FA","App Sat 3:30PM","94.5","7.27","100%","56.81","6","100%"
"Farmer, Koa","PSU","LB","Sr","74","FA","App Sat 3:30PM","93.5","7.79","0%","-","6","-"
"Williams, Trae","NW","DB","Jr","75","FA","@Purd Thu 8:00PM","92.5","9.25","0%","-","4","-"
"Davis, Carlos","Neb","DL","Jr","76","FA","Akr Sat 8:00PM","90.5","7.54","0%","-","9","-"
"Vault, Solomon","NW","WR,FLX","Sr","77","FA","@Purd Thu 8:00PM","89.5","6.88","0%","-","4","0%"
"Hilliman, Jonathan","Rut","RB,FLX","Sr","78","FA","TxSt Sat 12:00PM","89","7.42","62%","-","9","0%"
"Williams, Raequan","MSU","DL","Jr","79","FA","UtSt Fri 7:00PM","86","8.6","0%","-","3","-"
"Miller, Shareef","PSU","DL","Jr","80","FA","App Sat 3:30PM","85.5","9.5","0%","-","6","-"
"Coughlin, Carter","Minn","LB","Jr","81","FA","NMSt Thu 7:00PM","84","9.33","0%","-","5","-"
"Higdon, Karan","Mich","RB,FLX","Sr","82","FA","@ND Sat 7:30PM","82.5","6.88","100%","91.65","9","100%"
"Bryant, Tre","Neb","RB,FLX","Jr","83","FA","Akr Sat 8:00PM","82","6.83","100%","158.38","9","0%"
"Campbell, Parris","OHSt","WR,FLX","Sr","84","FA","OreSt Sat 12:00PM","80.5","6.71","100%","119.56","9","0%"
"Ozigbo, Devine","Neb","RB,FLX","Sr","85","FA","Akr Sat 8:00PM","79","8.78","5%","-","9","0%"
"Corbin, Reggie","Ill","RB,FLX","Jr","86","FA","Kent Sat 12:00PM","76.5","6.38","0%","-","5","0%"
"McLaughlin, Chase","Ill","K","Sr","87","FA","Kent Sat 12:00PM","75","7.5","0%","-","5","0%"
"Shaw, Bradrick","Wisc","RB,FLX","Jr","88","FA","W Ky Fri 9:00PM","74","7.4","0%","-","5","0%"
"Hayes, Damon","Rut","DB","Jr","89","FA","TxSt Sat 12:00PM","73","9.12","0%","-","9","-"
"Brown, Cam","PSU","LB","Jr","90","FA","App Sat 3:30PM","72.5","9.06","0%","-","6","-"
"Nagel, Flynn","NW","WR,FLX","Sr","91","FA","@Purd Thu 8:00PM","72","6.55","0%","-","4","0%"
"Barwick, Mike","Ind","DL","Sr","92","FA","@FLInt Sat 7:00PM","72","7.2","0%","-","10","-"
"Gary, Rashan","Mich","DL","Jr","93","FA","@ND Sat 7:30PM","70.5","5.88","100%","253","9","-"
"Buchholz, Ryan","PSU","DL","Jr","94","WW","App Sat 3:30PM","70","6.36","0%","-","6","-"
"Huff, Julian","Minn","LB","Sr","95","FA","NMSt Thu 7:00PM","70","5.83","0%","-","5","-"
"Pigrome, Tyrrell","MD","QB,FLX","So","96","FA","Tex Sat 12:00PM","69","6.27","68%","234","5","0%"
"Milan, Jamal","Ill","DL","Jr","97","FA","Kent Sat 12:00PM","69","7.67","0%","-","5","-"
"Landers, Robert","OHSt","DL","Jr","98","FA","OreSt Sat 12:00PM","68","7.56","0%","-","9","-"
"Stoltenberg, Mick","Neb","DL","Sr","99","FA","Akr Sat 8:00PM","67.5","6.75","0%","-","9","-"
"Shenault, Antonio","Minn","DB","Sr","100","FA","NMSt Thu 7:00PM","65.5","5.95","0%","-","5","-"
"Duncan, Keith","Iowa","K","So","101","FA","NIU Sat 3:30PM","63.5","4.88","0%","-","5","0%"
"Dellinger, J.D.","Purd","K","Jr","102","FA","NW Thu 8:00PM","61.5","5.12","0%","-","6","0%"
"Oruwariye, Amani","PSU","DB","Sr","103","FA","App Sat 3:30PM","61","6.1","0%","-","6","-"
"Willis, Khari","MSU","DB","Sr","104","FA","UtSt Fri 7:00PM","60","6.67","0%","-","3","-"
"McCall, Demario","OHSt","RB,WR,FLX","So","105","FA","OreSt Sat 12:00PM","59.5","11.9","0%","-","9","0%"
"Windsor, Robert","PSU","DL","Jr","106","FA","App Sat 3:30PM","59","4.92","0%","-","6","-"
"Layne, Justin","MSU","DB","Jr","107","FA","UtSt Fri 7:00PM","58.8","8.4","0%","-","3","-"
"Brown, Jalen","NW","WR,FLX","Sr","108","FA","@Purd Thu 8:00PM","57","6.33","0%","-","4","0%"
"DeLattiboudere, Winston","Minn","DL","Jr","109","FA","NMSt Thu 7:00PM","57","5.7","0%","-","5","-"
"Knight, Qwuantrezz","MD","DB","Jr","110","FA","Tex Sat 12:00PM","55.5","9.25","0%","-","5","-"
"Jackson, Lamar","Neb","DB","Jr","111","FA","Akr Sat 8:00PM","54.5","10.9","0%","-","9","-"
"Moten IV, John","NW","RB,FLX","Jr","112","FA","@Purd Thu 8:00PM","53","4.82","0%","-","4","0%"
"Lewis, Marcus","MD","DB","Jr","113","FA","Tex Sat 12:00PM","52.5","7.5","0%","-","5","-"
"Wilkins, Kevin","Rut","DL","Sr","114","FA","TxSt Sat 12:00PM","52.5","6.56","0%","-","9","-"
"Morgan Jr., Stanley","Neb","WR,FLX","Sr","115","FA","Akr Sat 8:00PM","52","4","100%","61.13","9","100%"
"Thompkins, DeAndre","PSU","WR,FLX","Sr","116","FA","App Sat 3:30PM","50.5","5.05","3%","365.5","6","0%"
"Davis, RaVon","MD","DB","Sr","117","FA","Tex Sat 12:00PM","50.5","8.42","0%","-","5","-"
"Robinson, Jacob","Ind","DL","Sr","118","FA","@FLInt Sat 7:00PM","50","5.56","0%","-","10","-"
"Thompson, Jordan","NW","DL","Sr","119","FA","@Purd Thu 8:00PM","49","6.12","0%","-","4","-"
"Herdman, Cole","Purd","TE,FLX","Sr","120","FA","NW Thu 8:00PM","48.5","4.04","1%","-","6","0%"
"Neal, Lorenzo","Purd","DL","Jr","121","FA","NW Thu 8:00PM","48.5","9.7","0%","-","6","-"
"Arnette, Damon","OHSt","DB","Jr","122","FA","OreSt Sat 12:00PM","48","4.36","0%","-","9","-"
"Devers, Tai'yon","Minn","DL","Jr","123","FA","NMSt Thu 7:00PM","48","9.6","0%","-","5","-"
"Bateky, Jon","Rut","DL","Sr","124","FA","TxSt Sat 12:00PM","47.5","5.94","0%","-","9","-"
"Lewerke, Brian","MSU","QB,FLX","Jr","125","FA","UtSt Fri 7:00PM","46","11.5","100%","105.69","3","100%"
"Baun, Zack","Wisc","LB","Jr","126","FA","W Ky Fri 9:00PM","46","6.57","0%","-","5","-"
"Thieneman, Jacob","Purd","DB","Sr","127","FA","NW Thu 8:00PM","45","6.43","0%","-","6","-"
"Willis Jr., Dameon","Ind","LB","Jr","128","FA","@FLInt Sat 7:00PM","45","5.62","0%","-","10","-"
"Watkins, Cameron","Ill","DB","Jr","129","FA","Kent Sat 12:00PM","44.5","6.36","0%","-","5","-"
"Gaglianone, Rafael","Wisc","K","Sr","130","FA","W Ky Fri 9:00PM","44","14.67","100%","172.66","5","0%"
"Reed, Antonio","Neb","DB","Sr","131","FA","Akr Sat 8:00PM","44","4.89","0%","-","9","-"
"Hopkins, Brycen","Purd","TE,FLX","Jr","132","FA","NW Thu 8:00PM","42.5","7.08","100%","189.07","6","0%"
"Neal, Tre","Neb","DB","Sr","133","WW","Akr Sat 8:00PM","42","4.2","0%","-","9","-"
"George, Jeff","Mich","QB,FLX","Sr","134","WW","@ND Sat 7:30PM","40.5","10.12","0%","-","9","0%"
"Metellus, Josh","Mich","DB","Jr","135","FA","@ND Sat 7:30PM","40","8","0%","-","9","-"
"Miller, Grayson","MSU","LB,DB","Sr","136","FA","UtSt Fri 7:00PM","40","5","0%","-","3","-"
"Morrissey, Matt","MSU","DB","Sr","137","FA","UtSt Fri 7:00PM","40","5.71","0%","-","3","-"
"Sagapolu, Olive","Wisc","DL","Sr","138","FA","W Ky Fri 9:00PM","40","6.67","0%","-","5","-"
"Samuels, Kayton","Ind","DL","Sr","139","FA","@FLInt Sat 7:00PM","38.5","4.28","0%","-","10","-"
"Wyatt, Fred","NW","DL","Sr","140","FA","@Purd Thu 8:00PM","37.5","4.17","0%","-","4","-"
"Jackson, Kenyon","Ill","DL","Jr","141","FA","Kent Sat 12:00PM","36","5.14","0%","-","5","-"
"Gossage, Paul","Minn","WR,FLX","Jr","142","FA","NMSt Thu 7:00PM","35","4.38","0%","-","5","0%"
"Harrison, Malik","OHSt","LB","Jr","143","FA","OreSt Sat 12:00PM","35","7","0%","-","9","-"
"Cason, Tim","Purd","DB","Sr","144","FA","NW Thu 8:00PM","34","5.67","0%","-","6","-"
"Davis, Isaiah","MD","LB","Jr","145","FA","Tex Sat 12:00PM","34","4.25","0%","-","5","-"
"Hamilton, Davon","OHSt","DL","Jr","146","FA","OreSt Sat 12:00PM","34","3.78","0%","-","9","-"
"Martin, Kamal","Minn","LB","Jr","147","FA","NMSt Thu 7:00PM","34","4.25","0%","-","5","-"
"Panasiuk, Mike","MSU","DL","Jr","148","FA","UtSt Fri 7:00PM","34","6.8","0%","-","3","-"
"Stevens, Tommy","PSU","QB,FLX","Jr","149","FA","App Sat 3:30PM","33.5","5.58","0%","-","6","0%"
"Kulka, Brett","MD","DL","Sr","150","FA","Tex Sat 12:00PM","33","3.67","0%","-","5","-"
"Kinnel, Tyree","Mich","DB","Sr","151","FA","@ND Sat 7:30PM","32.5","3.61","0%","-","9","-"
"Smith, Tyson","MSU","DB","Sr","152","FA","UtSt Fri 7:00PM","32.5","4.64","0%","-","3","-"
"Ingold, Alec","Wisc","RB,FLX","Sr","153","FA","W Ky Fri 9:00PM","32","3.2","0%","-","5","0%"
"Funk, Jake","MD","RB,FLX","Jr","154","FA","Tex Sat 12:00PM","30","2.73","0%","-","5","0%"
"Cooper, Jake","PSU","LB","Sr","155","FA","App Sat 3:30PM","30","7.5","0%","-","6","-"
"Harding, Dele","Ill","LB","Jr","156","FA","Kent Sat 12:00PM","30","7.5","0%","-","5","-"
"Hill, K.J.","OHSt","WR,FLX","Jr","157","FA","OreSt Sat 12:00PM","29","3.62","77%","93.43","9","0%"
"Timian, Luke","Ind","WR,FLX","Sr","158","FA","@FLInt Sat 7:00PM","29","2.64","59%","-","10","0%"
"Bachie, Joe","MSU","LB","Jr","159","FA","UtSt Fri 7:00PM","29","14.5","100%","248","3","-"
"Perry, Grant","Mich","WR,FLX","Sr","160","FA","@ND Sat 7:30PM","28","3.11","0%","-","9","0%"
"Butler, Josh","MSU","DB","Jr","161","FA","UtSt Fri 7:00PM","28","5.6","0%","-","3","-"
"Blackmon, Antonio","Purd","DB","Sr","162","FA","NW Thu 8:00PM","27.4","4.57","0%","-","6","-"
"Worship, Richie","Purd","RB,FLX","Jr","163","FA","NW Thu 8:00PM","26.5","3.31","0%","-","6","0%"
"Hale, Donavan","Ind","WR,FLX","Jr","164","FA","@FLInt Sat 7:00PM","26","2.6","0%","-","10","0%"
"Fox, Nathan","NW","LB","Jr","165","FA","@Purd Thu 8:00PM","26","2.89","0%","-","4","-"
"Watson, Brandon","Mich","DB","Sr","166","FA","@ND Sat 7:30PM","26","3.25","0%","-","9","-"
"Lewis, Rayshad","MD","WR,FLX,DB","So","167","FA","Tex Sat 12:00PM","24","2","0%","-","5","0%"
"Barber, Thomas","Minn","LB","Jr","168","FA","NMSt Thu 7:00PM","24","3.43","0%","-","5","-"
"Glasgow, Jordan","Mich","LB,DB","Sr","169","FA","@ND Sat 7:30PM","24","3","0%","-","9","-"
"Miller, Alex","NW","DL","Jr","170","FA","@Purd Thu 8:00PM","24","3","0%","-","4","-"
"Monroe, Ayron","PSU","DB","Jr","171","FA","App Sat 3:30PM","24","3","0%","-","6","-"
"Allen, Mark","PSU","RB,FLX","Sr","172","FA","App Sat 3:30PM","23","2.56","100%","-","6","0%"
"Cooper, Jonathon","OHSt","DL","Jr","173","FA","OreSt Sat 12:00PM","23","5.75","0%","-","9","-"
"Mone, Bryan","Mich","DL","Sr","174","FA","@ND Sat 7:30PM","22.5","3.21","0%","-","9","-"
"Goens, Trent","NW","DL","Jr","175","FA","@Purd Thu 8:00PM","22.3","7.43","0%","-","4","-"
"Bortenschlager, Max","MD","QB,FLX","Jr","176","FA","Tex Sat 12:00PM","22","11","0%","-","5","0%"
"Majette, Mike","Ind","RB,FLX","Sr","177","FA","@FLInt Sat 7:00PM","22","2.75","0%","-","10","0%"
"Bush, Devin","Mich","LB","Jr","178","FA","@ND Sat 7:30PM","22","3.14","100%","184","9","-"
"Fuller, Jordan","OHSt","DB","Jr","179","FA","OreSt Sat 12:00PM","22","3.67","0%","-","9","-"
"Mends, Aaron","Iowa","LB","Sr","180","FA","NIU Sat 3:30PM","22","7.33","0%","-","5","-"
"Mayo, Alonzo","NW","DB","Jr","181","FA","@Purd Thu 8:00PM","21.5","5.38","0%","-","4","-"
"Furbush, Noah","Mich","LB","Sr","182","FA","@ND Sat 7:30PM","21","3","0%","-","9","-"
"Davis III, Felton","MSU","WR,FLX","Sr","183","FA","UtSt Fri 7:00PM","20","4","100%","99.7","3","100%"
"Penniston, Kyle","Wisc","TE,FLX","Jr","184","FA","W Ky Fri 9:00PM","20","5","3%","331.9","5","0%"
"Hockaday, Jack","Iowa","LB","Sr","185","FA","NIU Sat 3:30PM","20","5","0%","-","5","-"
"Moore, Gary","Minn","DL","Sr","186","FA","NMSt Thu 7:00PM","19","9.5","0%","-","5","-"
"Hudson, Khaleke","Mich","LB,DB","Jr","187","FA","@ND Sat 7:30PM","18.5","3.08","100%","43","9","-"
"Mays, Sam","Ill","WR,FLX","Sr","188","FA","Kent Sat 12:00PM","18","3","0%","-","5","0%"
"McLaurin, Terry","OHSt","WR,FLX","Sr","189","FA","OreSt Sat 12:00PM","18","1.38","0%","-","9","0%"
"Ellis, Tino","MD","DB","Jr","190","FA","Tex Sat 12:00PM","18","2","0%","-","5","-"
"Tanyi, Mbi","MD","DL","Sr","191","FA","Tex Sat 12:00PM","18","3.6","0%","-","5","-"
"Wilder, Collin","Wisc","DB","Jr","192","WW","W Ky Fri 9:00PM","18","2.25","0%","-","5","-"
"Johnson, Tyler","Minn","WR,FLX","Jr","193","FA","NMSt Thu 7:00PM","17","2.43","100%","198.21","5","0%"
"Davis, Khalil","Neb","DL","Jr","194","FA","Akr Sat 8:00PM","16","4","0%","-","9","-"
"Domann, JoJo","Neb","DB","So","195","FA","Akr Sat 8:00PM","16","2.29","0%","-","9","-"
"Hansen, Jake","Ill","LB","So","196","FA","Kent Sat 12:00PM","16","2.67","0%","-","5","-"
"Scott, Nick","PSU","DB","Sr","197","FA","App Sat 3:30PM","16","2","0%","-","6","-"
"Cowart, Byron","MD","DL","Jr","198","FA","Tex Sat 12:00PM","15","3.75","0%","-","5","-"
"Saine, Oseh","MD","DL","So","199","FA","Tex Sat 12:00PM","15","7.5","0%","-","5","-"
"Deal, Taiwan","Wisc","RB,FLX","Sr","200","FA","W Ky Fri 9:00PM","14","2","0%","-","5","0%"
"Farrar, Arrington","Wisc","LB","Sr","201","FA","W Ky Fri 9:00PM","14","2.33","0%","-","5","-"
"Gest, Cole","Ind","RB,FLX","So","202","FA","@FLInt Sat 7:00PM","13.5","4.5","0%","-","10","0%"
"Cornell, Jashon","OHSt","DL","Jr","203","FA","OreSt Sat 12:00PM","13","4.33","0%","-","9","-"
"Huff, Jacob","Minn","DB","Sr","204","FA","NMSt Thu 7:00PM","13","3.25","0%","-","5","-"
"Alexander, Dillon","MSU","DL","Sr","205","FA","UtSt Fri 7:00PM","12.5","6.25","0%","-","3","-"
"Brookins, Ricky","Ind","RB,FLX","Sr","206","FA","@FLInt Sat 7:00PM","12","2.4","0%","-","10","0%"
"Cephus, Quintez","Wisc","WR,FLX","Jr","207","FA","W Ky Fri 9:00PM","12","2","9%","259.28","5","0%"
"Reimers, Bryan","Neb","WR,FLX","Sr","208","FA","Akr Sat 8:00PM","12","3","0%","-","9","0%"
"Barry, Mohamed","Neb","LB","Jr","209","FA","Akr Sat 8:00PM","12","1.71","0%","-","9","-"
"Butler, Jabari","PSU","DB","Jr","210","FA","App Sat 3:30PM","12","6","0%","-","6","-"
"Durr, Coney","Minn","DB","Jr","211","FA","NMSt Thu 7:00PM","12","4","0%","-","5","-"
"Lattimore, Cedrick","Iowa","DL","Jr","212","FA","NIU Sat 3:30PM","12","12","0%","-","5","-"
"Thompson, Tyriq","MSU","LB","Jr","213","FA","UtSt Fri 7:00PM","12","4","0%","-","3","-"
"Fant, Noah","Iowa","TE,FLX","Jr","214","FA","NIU Sat 3:30PM","11","1.83","100%","57.4","5","100%"
"Victor, Binjimen","OHSt","WR,FLX","Jr","215","FA","OreSt Sat 12:00PM","11","3.67","10%","-","9","0%"
"Brooks, Jr., Antoine","MD","DB","Jr","216","FA","Tex Sat 12:00PM","10","2.5","0%","-","5","-"
"Bullough, Byron","MSU","LB","Sr","217","FA","UtSt Fri 7:00PM","10","2.5","0%","-","3","-"
"Hughes, Casey","Mich","DB","Sr","218","WW","@ND Sat 7:30PM","10","2.5","0%","-","9","-"
"Marshall, Lawrence","Mich","DL","Sr","219","FA","@ND Sat 7:30PM","10","3.33","0%","-","9","-"
"Williamson, Chris","Minn","DB","Jr","220","FA","NMSt Thu 7:00PM","10","3.33","0%","-","5","-"
"Brincks, Sam","Iowa","DL","Sr","221","FA","NIU Sat 3:30PM","9","2.25","0%","-","5","-"
"Johnson, Juwan","PSU","WR,FLX","Jr","222","FA","App Sat 3:30PM","8","0.89","100%","103.77","6","0%"
"Sowards, Brandon","MSU","WR,FLX","Sr","223","FA","UtSt Fri 7:00PM","8","1","0%","-","3","0%"
"Stewart Jr., Darrell","MSU","WR,FLX","Jr","224","FA","UtSt Fri 7:00PM","8","1.6","6%","386.1","3","0%"
"Egbuaba, Nnamdi","MD","LB","Sr","225","FA","Tex Sat 12:00PM","8","2","0%","-","5","-"
"Gervase, Jake","Iowa","DB","Sr","226","FA","NIU Sat 3:30PM","8","4","0%","-","5","-"
"Grady, Griffin","Wisc","LB","So","227","FA","W Ky Fri 9:00PM","8","2.67","0%","-","5","-"
"Hilliard, Justin","OHSt","LB","Jr","228","FA","OreSt Sat 12:00PM","8","8","0%","-","9","-"
"Hooker, Amani","Iowa","DB","Jr","229","FA","NIU Sat 3:30PM","8","2","0%","-","5","-"
"Jones, Keandre","OHSt","LB","Jr","230","FA","OreSt Sat 12:00PM","8","4","0%","-","9","-"
"King, Sedrick","Neb","LB","Sr","231","FA","Akr Sat 8:00PM","8","2.67","0%","-","9","-"
"Miller, Jarvis","PSU","LB","Jr","232","FA","App Sat 3:30PM","8","2","0%","-","6","-"
"Rand, Garrett","Wisc","DL","Jr","233","FA","W Ky Fri 9:00PM","8","2.67","0%","-","5","-"
"Dixon, Johnnie","OHSt","WR,FLX","Sr","234","FA","OreSt Sat 12:00PM","7","2.33","3%","350.91","9","0%"
"Wilbon, Mikale","Neb","RB,FLX","Sr","235","FA","Akr Sat 8:00PM","7","0.88","0%","-","9","0%"
"Shinsky, Mike","MD","K","Jr","236","FA","Tex Sat 12:00PM","6.5","6.5","0%","-","5","0%"
"Dwumfour, Michael","Mich","DL","Jr","237","FA","@ND Sat 7:30PM","6.5","6.5","0%","-","9","-"
"Fuller, Tario","Purd","RB,FLX","Jr","238","FA","NW Thu 8:00PM","6","1.5","0%","-","6","0%"
"Sneed, Trey","Rut","RB,FLX","So","239","FA","TxSt Sat 12:00PM","6","0.6","0%","-","9","0%"
"Taylor, A.J.","Wisc","WR,FLX","Jr","240","FA","W Ky Fri 9:00PM","6","1.2","0%","-","5","0%"
