"Player","Team","Position","Year","Rk","Status","Opponent","FPts","FP/G","%D","ADP","Bye","% Owned"
"Michigan","Mich","DST","","1","FA","@ND Sat 7:30PM","620","47.69","100%","102.32","9","100%"
"McSorley, Trace","PSU","QB,FLX","Sr","2","FA","App Sat 3:30PM","574","41","100%","21.55","6","100%"
"Ohio State","OHSt","DST","","3","FA","OreSt Sat 12:00PM","544","41.85","100%","106.13","9","100%"
"Penn State","PSU","DST","","4","FA","App Sat 3:30PM","538","38.43","100%","101.81","6","100%"
"Wisconsin","Wisc","DST","","5","FA","W Ky Fri 9:00PM","510","36.43","100%","45.33","5","100%"
"Minnesota","Minn","DST","","6","FA","NMSt Thu 7:00PM","484","37.23","4%","400.14","5","0%"
"Blough, David","Purd","QB,FLX","Sr","7","FA","NW Thu 8:00PM","460.5","38.38","0%","-","6","0%"
"Indiana","Ind","DST","","8","FA","@FLInt Sat 7:00PM","448","34.46","4%","348.2","10","0%"
"Thorson, Clayton","NW","QB,FLX","Sr","9","FA","@Purd Thu 8:00PM","439.5","33.81","67%","184.23","4","0%"
"Nebraska","Neb","DST","","10","FA","Akr Sat 8:00PM","408","31.38","4%","495.5","9","0%"
"Maryland","MD","DST","","11","FA","Tex Sat 12:00PM","406","31.23","0%","-","5","0%"
"Northwestern","NW","DST","","12","FA","@Purd Thu 8:00PM","402","30.92","9%","260.4","4","0%"
"Illinois","Ill","DST","","13","FA","Kent Sat 12:00PM","396","33","0%","-","5","0%"
"Iowa","Iowa","DST","","14","FA","NIU Sat 3:30PM","394","30.31","14%","209.52","5","0%"
"Dawkins, Brandon","Ind","QB,FLX","Sr","15","FA","@FLInt Sat 7:00PM","320","32","13%","239.01","10","0%"
"Rutgers","Rut","DST","","16","FA","TxSt Sat 12:00PM","310","25.83","0%","-","9","0%"
"Purdue","Purd","DST","","17","FA","NW Thu 8:00PM","302","25.17","4%","363.9","6","100%"
"Michigan State","MSU","DST","","18","FA","UtSt Fri 7:00PM","284","23.67","100%","146.32","3","100%"
"Smith, Rodney","Minn","RB,FLX","Sr","19","FA","NMSt Thu 7:00PM","281.5","21.65","100%","70.77","5","100%"
"Edwards, T.J.","Wisc","LB","Sr","20","FA","W Ky Fri 9:00PM","254","19.54","100%","131","5","-"
"Bailey, Markus","Purd","LB","Jr","21","FA","NW Thu 8:00PM","240.9","20.07","0%","-","6","-"
"Aniebonam, Jesse","MD","DL","Sr","22","FA","Tex Sat 12:00PM","237.5","18.27","0%","-","5","-"
"Morris, Trevor","Rut","LB","Sr","23","FA","TxSt Sat 12:00PM","225","18.75","0%","-","9","-"
"Watson, Tre","MD","LB","Sr","24","FA","Tex Sat 12:00PM","219","19.91","0%","-","5","-"
"Roberts, Deonte","Rut","LB","Sr","25","FA","TxSt Sat 12:00PM","199.2","16.6","0%","-","9","-"
"Johnson, Ty","MD","RB,FLX","Sr","26","FA","Tex Sat 12:00PM","199","15.31","100%","136.08","5","0%"
"Weber, Mike","OHSt","RB,FLX","Jr","27","FA","OreSt Sat 12:00PM","190.5","14.65","100%","108.41","9","100%"
"Williams, Aaron","Neb","DB","Sr","28","FA","Akr Sat 8:00PM","182","14","0%","-","9","-"
"Cashman, Blake","Minn","LB","Sr","29","FA","NMSt Thu 7:00PM","180.5","16.41","0%","-","5","-"
"Bowen, Manny","PSU","LB","Sr","30","WW","App Sat 3:30PM","180","13.85","0%","-","6","-"
"Ball, Marcelino","Ind","DB","So","31","FA","@FLInt Sat 7:00PM","176","13.54","0%","-","10","-"
"Scott, LJ","MSU","RB,FLX","Sr","32","FA","UtSt Fri 7:00PM","172.5","14.38","100%","111.62","3","0%"
"Dixon, D'Cota","Wisc","DB","Sr","33","FA","W Ky Fri 9:00PM","169.5","12.11","0%","-","5","-"
"Hall, Nate","NW","LB","Sr","34","FA","@Purd Thu 8:00PM","166","12.77","0%","-","4","-"
"Crawford, Jonathan","Ind","DB","Sr","35","FA","@FLInt Sat 7:00PM","165.1","12.7","0%","-","10","-"
"Dowell, Andrew","MSU","LB","Sr","36","FA","UtSt Fri 7:00PM","162","13.5","0%","-","3","-"
"Westbrook, Nick","Ind","WR,FLX","Jr","37","FA","@FLInt Sat 7:00PM","158","13.17","100%","82.28","10","100%"
"Hartage, Montre","NW","DB","Sr","38","FA","@Purd Thu 8:00PM","157","12.08","0%","-","4","-"
"Savage, Jr., Darnell","MD","DB","Sr","39","FA","Tex Sat 12:00PM","153.5","13.95","0%","-","5","-"
"Connelly, Ryan","Wisc","LB","Sr","40","FA","W Ky Fri 9:00PM","151.9","13.81","0%","-","5","-"
"Nelson, Anthony","Iowa","DL","Jr","41","FA","NIU Sat 3:30PM","147","11.31","0%","-","5","-"
"Carpenter, Emmit","Minn","K","Sr","42","FA","NMSt Thu 7:00PM","142","10.92","0%","-","5","0%"
"Nelson, Matt","Iowa","DL","Sr","43","FA","NIU Sat 3:30PM","142","11.83","0%","-","5","-"
"Young II, Dedrick","Neb","LB","Sr","44","FA","Akr Sat 8:00PM","136","11.33","0%","-","9","-"
"Winovich, Chase","Mich","DL","Sr","45","FA","@ND Sat 7:30PM","134.5","10.35","100%","175","9","-"
"Winfield Jr., Antoine","Minn","DB","Jr","46","FA","NMSt Thu 7:00PM","133.7","13.37","0%","-","5","-"
"Hester, Kiy","Rut","DB","Sr","47","WW","TxSt Sat 12:00PM","131","16.38","0%","-","9","-"
"Patterson, Shea","Mich","QB,FLX","Jr","48","FA","@ND Sat 7:30PM","128.5","42.83","100%","128.46","9","100%"
"Hesse, Parker","Iowa","DL","Sr","49","FA","NIU Sat 3:30PM","127","10.58","0%","-","5","-"
"Bosa, Nick","OHSt","DL","Jr","50","FA","OreSt Sat 12:00PM","126","10.5","100%","127","9","-"
"Hornibrook, Alex","Wisc","QB,FLX","Jr","51","FA","W Ky Fri 9:00PM","125.5","10.46","100%","49.71","5","0%"
"Green, Stanley","Ill","DB","Jr","52","FA","Kent Sat 12:00PM","124","15.5","0%","-","5","-"
"Brooks, Shannon","Minn","RB,FLX","Sr","53","FA","NMSt Thu 7:00PM","118","11.8","0%","-","5","0%"
"Jones, Dre'Mont","OHSt","DL","Jr","54","FA","OreSt Sat 12:00PM","116.5","9.71","0%","-","9","-"
"Gaziano, Joe","NW","DL","Jr","55","FA","@Purd Thu 8:00PM","116","10.55","100%","259","4","-"
"Akinmoladun, Freedom","Neb","DL","Sr","56","FA","Akr Sat 8:00PM","114.5","9.54","0%","-","9","-"
"Givens, Kevin","PSU","DL","Jr","57","FA","App Sat 3:30PM","114.5","8.81","0%","-","6","-"
