"Player","Team","Position","Year","Rk","Status","Opponent","FPts","FP/G","%D","ADP","Bye","% Owned"
"Michigan State","MSU","DST","","1","FA","UtSt Fri 7:00PM","426","30.43","100%","146.32","3","100%"
"Rutgers","Rut","DST","","2","FA","TxSt Sat 12:00PM","390","30","0%","-","9","0%"
"Wisconsin","Wisc","DST","","3","FA","W Ky Fri 9:00PM","352","25.14","100%","45.33","5","100%"
"Illinois","Ill","DST","","4","FA","Kent Sat 12:00PM","350","26.92","0%","-","5","0%"
"Michigan","Mich","DST","","5","FA","@ND Sat 7:30PM","336","25.85","100%","102.32","9","100%"
"Penn State","PSU","DST","","6","FA","App Sat 3:30PM","306","23.54","100%","101.81","6","100%"
"Ohio State","OHSt","DST","","7","FA","OreSt Sat 12:00PM","274","21.08","100%","106.13","9","100%"
"Purdue","Purd","DST","","8","FA","NW Thu 8:00PM","246","18.92","4%","363.9","6","100%"
"Iowa","Iowa","DST","","9","FA","NIU Sat 3:30PM","234","18","14%","209.52","5","0%"
"Nebraska","Neb","DST","","10","FA","Akr Sat 8:00PM","234","18","4%","495.5","9","0%"
"Maryland","MD","DST","","11","FA","Tex Sat 12:00PM","232","19.33","0%","-","5","0%"
"Northwestern","NW","DST","","12","FA","@Purd Thu 8:00PM","182","14","9%","260.4","4","0%"
"Indiana","Ind","DST","","13","FA","@FLInt Sat 7:00PM","160","13.33","4%","348.2","10","0%"
"Minnesota","Minn","DST","","14","FA","NMSt Thu 7:00PM","154","12.83","4%","400.14","5","0%"
"Davis III, Felton","MSU","WR,FLX","Sr","15","FA","UtSt Fri 7:00PM","0","0","100%","99.7","3","100%"
"Dobbins, J.K.","OHSt","RB,FLX","So","16","FA","OreSt Sat 12:00PM","0","0","100%","23.28","9","100%"
"Fant, Noah","Iowa","TE,FLX","Jr","17","FA","NIU Sat 3:30PM","0","0","100%","57.4","5","100%"
"Haskins, Dwayne","OHSt","QB,FLX","So","18","FA","OreSt Sat 12:00PM","0","0","100%","35.07","9","100%"
"Higdon, Karan","Mich","RB,FLX","Sr","19","FA","@ND Sat 7:30PM","0","0","100%","91.65","9","100%"
"Larkin, Jeremy","NW","RB,FLX","So","20","FA","@Purd Thu 8:00PM","0","0","100%","66.6","4","100%"
"Lewerke, Brian","MSU","QB,FLX","Jr","21","FA","UtSt Fri 7:00PM","0","0","100%","105.69","3","100%"
"Martinez, Adrian","Neb","QB,FLX","Fr","22","FA","Akr Sat 8:00PM","0","0","100%","143.75","9","100%"
"McSorley, Trace","PSU","QB,FLX","Sr","23","FA","App Sat 3:30PM","0","0","100%","21.55","6","100%"
"Morgan Jr., Stanley","Neb","WR,FLX","Sr","24","FA","Akr Sat 8:00PM","0","0","100%","61.13","9","100%"
"Nuernberger, Sean","OHSt","K","Sr","25","FA","OreSt Sat 12:00PM","0","0","100%","115.08","9","100%"
"Patterson, Shea","Mich","QB,FLX","Jr","26","FA","@ND Sat 7:30PM","0","0","100%","128.46","9","100%"
"Sanders, Miles","PSU","RB,FLX","Jr","27","FA","App Sat 3:30PM","0","0","100%","56.81","6","100%"
"Smith, Rodney","Minn","RB,FLX","Sr","28","FA","NMSt Thu 7:00PM","0","0","100%","70.77","5","100%"
"Taylor, Jonathan","Wisc","RB,FLX","So","29","FA","W Ky Fri 9:00PM","0","0","100%","7.23","5","100%"
"Weber, Mike","OHSt","RB,FLX","Jr","30","FA","OreSt Sat 12:00PM","0","0","100%","108.41","9","100%"
"Westbrook, Nick","Ind","WR,FLX","Jr","31","FA","@FLInt Sat 7:00PM","0","0","100%","82.28","10","100%"
"Abbott, A.J.","Wisc","WR,FLX","Fr","32","WW","W Ky Fri 9:00PM","0","0","0%","-","5","0%"
"Albericci, Austin","Rut","QB,FLX","Fr","33","WW","TxSt Sat 12:00PM","0","0","0%","-","9","0%"
"Alexander, Javez","MSU","WR,FLX","Fr","34","FA","UtSt Fri 7:00PM","0","0","0%","-","3","0%"
"Alioth Jr., Chad","Neb","WR,FLX","Fr","35","FA","Akr Sat 8:00PM","0","0","0%","-","9","0%"
"Allen, Austin","Neb","TE,FLX","Fr","36","FA","Akr Sat 8:00PM","0","0","5%","-","9","0%"
"Allen, Mark","PSU","RB,FLX","Sr","37","FA","App Sat 3:30PM","0","0","100%","-","6","0%"
"Anderson Jr., Amad","Purd","WR,FLX","Fr","38","FA","NW Thu 8:00PM","0","0","0%","-","6","0%"
"Anderson, Drake","NW","RB,FLX","Fr","39","FA","@Purd Thu 8:00PM","0","0","0%","-","4","0%"
"Anderson, Evan","Purd","RB,FLX","Fr","40","WW","NW Thu 8:00PM","0","0","0%","-","6","0%"
"Andrews, Austin","MSU","RB,FLX,DB","So","41","FA","UtSt Fri 7:00PM","0","0","0%","-","3","0%"
"Annexstad, Brock","Minn","WR,FLX","Fr","42","FA","NMSt Thu 7:00PM","0","0","0%","-","5","0%"
"Annexstad, Zack","Minn","QB,FLX","Fr","43","FA","NMSt Thu 7:00PM","0","0","0%","-","5","0%"
"Anthony, Max","Rut","RB,FLX","Jr","44","FA","TxSt Sat 12:00PM","0","0","0%","-","9","0%"
"Anthrop, Jackson","Purd","WR,FLX","So","45","FA","NW Thu 8:00PM","0","0","10%","-","6","0%"
"Arcangelo, Joe","PSU","TE,FLX","Jr","46","FA","App Sat 3:30PM","0","0","0%","-","6","0%"
"Armour, Alfred","Purd","RB,FLX","Fr","47","WW","NW Thu 8:00PM","0","0","0%","-","6","0%"
"Autman-Bell, Chris","Minn","WR,FLX","Fr","48","FA","NMSt Thu 7:00PM","0","0","0%","-","5","0%"
"Babb, Kamryn","OHSt","WR,FLX","Fr","49","FA","OreSt Sat 12:00PM","0","0","0%","-","9","0%"
"Baldwin, Matthew","OHSt","QB,FLX","Fr","50","FA","OreSt Sat 12:00PM","0","0","0%","-","9","0%"
"Banker, Christian","Neb","WR,FLX","Fr","51","FA","Akr Sat 8:00PM","0","0","0%","-","9","0%"
"Banks, Aaron","Purd","QB,FLX","Sr","52","FA","NW Thu 8:00PM","0","0","0%","-","6","0%"
"Barber, Matt","MD","K","Sr","53","FA","Tex Sat 12:00PM","0","0","0%","-","5","0%"
"Barker, Daniel","Ill","TE,FLX","Fr","54","FA","Kent Sat 12:00PM","0","0","0%","-","5","0%"
"Barnes, Noah","MD","TE,FLX","So","55","FA","Tex Sat 12:00PM","0","0","0%","-","5","0%"
"Barnwell, Elijah","Rut","RB,FLX,LB","Fr","56","FA","TxSt Sat 12:00PM","0","0","0%","-","9","0%"
"Barrett, Michael","Mich","RB,FLX","Fr","57","WW","@ND Sat 7:30PM","0","0","0%","-","9","0%"
"Barton, Khylin","MSU","WR,FLX","So","58","FA","UtSt Fri 7:00PM","0","0","0%","-","3","0%"
"Bateman, Rashod","Minn","WR,FLX","Fr","59","FA","NMSt Thu 7:00PM","0","0","0%","-","5","0%"
"Baty, Ramsey","Mich","TE,FLX","Fr","60","WW","@ND Sat 7:30PM","0","0","0%","-","9","0%"
"Beebe, Colton","Minn","TE,FLX","Jr","61","FA","NMSt Thu 7:00PM","0","0","0%","-","5","0%"
"Bell, Greg","Neb","RB,FLX","Jr","62","FA","Akr Sat 8:00PM","0","0","100%","199.94","9","0%"
"Bell, Ronnie","Mich","WR,FLX","Fr","63","WW","@ND Sat 7:30PM","0","0","0%","-","9","0%"
"Belt, Brody","Neb","RB,FLX","Fr","64","FA","Akr Sat 8:00PM","0","0","0%","-","9","0%"
"Benzschawel, Luke","Wisc","TE,FLX","So","65","FA","W Ky Fri 9:00PM","0","0","0%","-","5","0%"
"Berry, Justin","Ind","WR,FLX","So","66","FA","@FLInt Sat 7:00PM","0","0","0%","-","10","0%"
"Berry, Rashod","OHSt","TE,FLX","Jr","67","FA","OreSt Sat 12:00PM","0","0","20%","185.11","9","0%"
"Beyer, Shaun","Iowa","TE,FLX","So","68","FA","NIU Sat 3:30PM","0","0","0%","-","5","0%"
"Bican, Gage","OHSt","WR,FLX","Jr","69","FA","OreSt Sat 12:00PM","0","0","0%","-","9","0%"
"Bican, Luciano","OHSt","WR,FLX","Jr","70","FA","OreSt Sat 12:00PM","0","0","0%","-","9","0%"
"Bjorson, Matt","Ind","TE,FLX","Fr","71","WW","@FLInt Sat 7:00PM","0","0","0%","-","10","0%"
"Black, Tarik","Mich","WR,FLX","So","72","FA","@ND Sat 7:30PM","0","0","100%","158.6","9","0%"
"Blackshear, Raheem","Rut","RB,FLX","So","73","FA","TxSt Sat 12:00PM","0","0","7%","344.2","9","0%"
"Blough, David","Purd","QB,FLX","Sr","74","FA","NW Thu 8:00PM","0","0","0%","-","6","0%"
"Bobak, Christian","Ill","RB,FLX,DB","So","75","FA","Kent Sat 12:00PM","0","0","0%","-","5","0%"
"Bonner, Jordan","Purd","WR,FLX","Fr","76","WW","NW Thu 8:00PM","0","0","0%","-","6","0%"
"Bonner, Ra'Von","Ill","RB,FLX","So","77","FA","Kent Sat 12:00PM","0","0","0%","-","5","0%"
"Bonner, Shaun","Ind","TE,FLX","So","78","FA","@FLInt Sat 7:00PM","0","0","0%","-","10","0%"
"Bortenschlager, Max","MD","QB,FLX","Jr","79","FA","Tex Sat 12:00PM","0","0","0%","-","5","0%"
"Bousky, Alex","NW","RB,WR,FLX","Sr","80","FA","@Purd Thu 8:00PM","0","0","0%","-","4","0%"
"Bowers, Nick","PSU","TE,FLX","Jr","81","FA","App Sat 3:30PM","0","0","9%","285.76","6","0%"
"Bowser, Isaiah","NW","RB,FLX","Fr","82","FA","@Purd Thu 8:00PM","0","0","0%","-","4","0%"
"Bradley, Jaylin","Neb","RB,FLX","So","83","FA","Akr Sat 8:00PM","0","0","0%","-","9","0%"
"Bravo, Brian","Purd","K","Sr","84","FA","NW Thu 8:00PM","0","0","0%","-","6","0%"
"Bridges, Weston","MSU","RB,FLX","Fr","85","FA","UtSt Fri 7:00PM","0","0","0%","-","3","0%"
"Brookins, Ricky","Ind","RB,FLX","Sr","86","FA","@FLInt Sat 7:00PM","0","0","0%","-","10","0%"
"Brooks, Blair","Iowa","WR,FLX","Fr","87","FA","NIU Sat 3:30PM","0","0","0%","-","5","0%"
"Brooks, Shannon","Minn","RB,FLX","Sr","88","FA","NMSt Thu 7:00PM","0","0","0%","-","5","0%"
"Brown, Cameron","OHSt","WR,FLX","Fr","89","FA","OreSt Sat 12:00PM","0","0","0%","-","9","0%"
"Brown, Dre","Ill","RB,FLX","Jr","90","FA","Kent Sat 12:00PM","0","0","0%","-","5","0%"
"Brown, Jalen","NW","WR,FLX","Sr","91","FA","@Purd Thu 8:00PM","0","0","0%","-","4","0%"
"Brown, Jesse","NW","RB,FLX","So","92","FA","@Purd Thu 8:00PM","0","0","0%","-","4","0%"
"Brown, Journey","PSU","RB,FLX","Fr","93","FA","App Sat 3:30PM","0","0","0%","-","6","0%"
"Brown, Justin","MD","WR,FLX","Fr","94","WW","Tex Sat 12:00PM","0","0","0%","-","5","0%"
"Brown, Matt","Mich","RB,FLX","So","95","FA","@ND Sat 7:30PM","0","0","0%","-","9","0%"
"Brumbaugh, Legend","MD","QB,FLX","So","96","FA","Tex Sat 12:00PM","0","0","0%","-","5","0%"
"Bryan, Kyshaun","Iowa","RB,FLX","Fr","97","FA","NIU Sat 3:30PM","0","0","0%","-","5","0%"
"Bryant, Moses","Neb","RB,WR,FLX,DB","Fr","98","FA","Akr Sat 8:00PM","0","0","0%","-","9","0%"
"Bryant, Tre","Neb","RB,FLX","Jr","99","FA","Akr Sat 8:00PM","0","0","100%","158.38","9","0%"
"Buckman, Luke","Mich","TE,FLX","Fr","100","WW","@ND Sat 7:30PM","0","0","0%","-","9","0%"
"Bunch, Andrew","Neb","QB,FLX","So","101","FA","Akr Sat 8:00PM","0","0","0%","-","9","0%"
"Burgess, Jarrett","Purd","WR,FLX","Sr","102","FA","NW Thu 8:00PM","0","0","0%","-","6","0%"
"Bursch, Nathan","Minn","TE,FLX","Fr","103","FA","NMSt Thu 7:00PM","0","0","0%","-","5","0%"
"Burton, Reid","MSU","RB,FLX","So","104","FA","UtSt Fri 7:00PM","0","0","0%","-","3","0%"
"Bush, AJ","Ill","QB,FLX","Sr","105","WW","Kent Sat 12:00PM","0","0","0%","-","5","0%"
"Bush, Peter","Mich","RB,FLX","Jr","106","FA","@ND Sat 7:30PM","0","0","0%","-","9","0%"
"Campbell, Charles","Ind","K","Fr","107","WW","@FLInt Sat 7:00PM","0","0","0%","-","10","0%"
"Campbell, Parris","OHSt","WR,FLX","Sr","108","FA","OreSt Sat 12:00PM","0","0","100%","119.56","9","0%"
"Camper, Jack","MSU","TE,FLX,DL","Fr","109","FA","UtSt Fri 7:00PM","0","0","0%","-","3","0%"
"Capehart, Tahj","MD","WR,FLX","So","110","FA","Tex Sat 12:00PM","0","0","0%","-","5","0%"
"Caratan, George","Mich","K","Fr","111","WW","@ND Sat 7:30PM","0","0","0%","-","9","0%"
"Cardillo, Jack","Ind","K","Fr","112","FA","@FLInt Sat 7:00PM","0","0","0%","-","10","0%"
"Carollo, Danny","Purd","QB,FLX","So","113","FA","NW Thu 8:00PM","0","0","0%","-","6","0%"
"Carpenter, Emmit","Minn","K","Sr","114","FA","NMSt Thu 7:00PM","0","0","0%","-","5","0%"
"Carriere, Carlos","MD","WR,FLX","Fr","115","FA","Tex Sat 12:00PM","0","0","0%","-","5","0%"
"Carter, Edwin","Ill","WR,FLX","Fr","116","FA","Kent Sat 12:00PM","0","0","0%","-","5","0%"
"Carter, Nate","Wisc","QB,FLX","Fr","117","WW","W Ky Fri 9:00PM","0","0","0%","-","5","0%"
