"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned","+/-","GP","PA","YdA","Stf","Sk","Sft","FF","FR","Int","TDDST","XPB","FGBA"
"Penn State","PSU","DST","1","FA","App Sat 3:30PM","562","43.23","6","100%","0%","13","284","4,218","105","45","0","35","12","10","1","2","0"
"Michigan State","MSU","DST","2","FA","UtSt Fri 7:00PM","540","38.57","3","100%","0%","14","304","4,898","95","37","0","27","13","15","5","1","0"
"Northwestern","NW","DST","3","FA","@Purd Thu 8:00PM","514","39.54","4","0%","0%","13","242","4,146","91","31","0","18","9","12","5","1","0"
"Ohio State","OHSt","DST","4","FA","OreSt Sat 12:00PM","502","38.62","9","100%","0%","13","196","4,047","83","38","0","16","9","12","4","0","0"
"Michigan","Mich","DST","5","FA","@ND Sat 7:30PM","498","38.31","9","100%","0%","13","213","3,649","87","32","0","11","2","10","2","0","0"
"Wisconsin","Wisc","DST","6","FA","W Ky Fri 9:00PM","479","36.85","5","100%","0%","13","178","3,491","74.5","29","0","13","9","12","1","0","0"
"Iowa","Iowa","DST","7","FA","NIU Sat 3:30PM","438","31.29","5","0%","0%","14","285","4,774","63","30","0","15","8","19","4","0","0"
"Illinois","Ill","DST","8","FA","Kent Sat 12:00PM","419","34.92","5","0%","0%","12","279","4,210","88.5","19","0","12","8","13","3","0","0"
"Maryland","MD","DST","9","FA","Tex Sat 12:00PM","398","33.17","5","0%","0%","12","413","5,054","87","35","0","20","9","9","3","0","0"
"Minnesota","Minn","DST","10","FA","NMSt Thu 7:00PM","394","30.31","5","0%","0%","13","327","4,497","81","22","0","15","8","10","2","0","0"
"Indiana","Ind","DST","11","FA","@FLInt Sat 7:00PM","372","28.62","10","0%","0%","13","489","6,623","79","29","0","22","10","12","4","0","0"
"Nebraska","Neb","DST","12","FA","Akr Sat 8:00PM","352","27.08","9","0%","0%","13","362","5,205","78","24","1","15","5","10","1","1","0"
"Rutgers","Rut","DST","13","FA","TxSt Sat 12:00PM","324","27","9","0%","0%","12","419","5,544","69","14","0","11","3","13","6","1","0"
"Purdue","Purd","DST","14","FA","NW Thu 8:00PM","314","26.17","6","100%","0%","12","438","5,508","72","20","0","16","9","12","1","1","0"
