"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned","+/-","GP","PA","YdA","Stf","Sk","Sft","FF","FR","Int","TDDST","XPB","FGBA"
"Wisconsin","Wisc","DST","1","FA","W Ky Fri 9:00PM","622","44.43","5","100%","0%","14","195","3,669","90","42","2","15","9","20","7","0","0"
"Ohio State","OHSt","DST","2","FA","OreSt Sat 12:00PM","598","42.71","9","100%","0%","14","266","4,213","114","44","1","16","11","13","2","0","0"
"Michigan","Mich","DST","3","FA","@ND Sat 7:30PM","562","43.23","9","100%","0%","13","245","3,523","111","42","1","20","7","10","4","0","0"
"Penn State","PSU","DST","4","FA","App Sat 3:30PM","549","42.23","6","100%","0%","13","214","4,283","92.5","42","2","20","15","10","4","0","0"
"Northwestern","NW","DST","5","FA","@Purd Thu 8:00PM","498","38.31","4","0%","0%","13","261","4,644","96","32","0","18","8","17","2","1","0"
"Indiana","Ind","DST","6","FA","@FLInt Sat 7:00PM","448","37.33","10","0%","0%","12","304","4,081","88","35","1","19","8","5","3","1","0"
"Iowa","Iowa","DST","7","FA","NIU Sat 3:30PM","430","33.08","5","0%","0%","13","259","4,647","63","29","1","15","5","21","4","0","0"
"Michigan State","MSU","DST","8","FA","UtSt Fri 7:00PM","420","32.31","3","100%","0%","13","260","3,870","63","26","0","18","9","14","1","0","0"
"Purdue","Purd","DST","9","FA","NW Thu 8:00PM","410","31.54","6","100%","0%","13","267","4,881","82","29","0","14","11","10","1","0","0"
"Minnesota","Minn","DST","10","FA","NMSt Thu 7:00PM","372","31","5","0%","0%","12","274","4,160","71","23","0","18","10","8","3","0","0"
"Illinois","Ill","DST","11","FA","Kent Sat 12:00PM","302","25.17","5","0%","0%","12","378","5,021","52","19","0","23","10","9","2","0","0"
"Maryland","MD","DST","12","FA","Tex Sat 12:00PM","300","25","5","0%","0%","12","445","5,033","67","16","0","13","6","10","4","0","0"
"Rutgers","Rut","DST","13","FA","TxSt Sat 12:00PM","294","24.5","9","0%","0%","12","340","4,783","52","15","0","13","3","12","2","0","0"
"Nebraska","Neb","DST","14","FA","Akr Sat 8:00PM","282","23.5","9","0%","0%","12","437","5,234","54","14","1","17","3","9","3","0","0"
