"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned","+/-","GP","PA","YdA","Stf","Sk","Sft","FF","FR","Int","TDDST","XPB","FGBA"
"Michigan","Mich","DST","1","FA","@ND Sat 7:30PM","620","47.69","9","100%","0%","13","183","3,403","119","45","0","15","6","13","5","0","0"
"Ohio State","OHSt","DST","2","FA","OreSt Sat 12:00PM","544","41.85","9","100%","0%","13","201","3,859","87","28","1","14","6","21","7","0","0"
"Penn State","PSU","DST","3","FA","App Sat 3:30PM","538","38.43","6","100%","0%","14","356","5,151","113","40","0","21","11","10","3","0","0"
"Wisconsin","Wisc","DST","4","FA","W Ky Fri 9:00PM","510","36.43","5","100%","0%","14","218","4,219","74","34","1","17","7","22","3","0","0"
"Minnesota","Minn","DST","5","FA","NMSt Thu 7:00PM","484","37.23","5","0%","0%","13","287","4,534","101","37","1","23","16","9","2","0","0"
"Indiana","Ind","DST","6","FA","@FLInt Sat 7:00PM","448","34.46","10","0%","0%","13","354","4,941","98","33","3","19","10","13","2","0","0"
"Nebraska","Neb","DST","7","FA","Akr Sat 8:00PM","408","31.38","9","0%","0%","13","311","4,728","83","26","0","10","3","16","2","0","0"
"Maryland","MD","DST","8","FA","Tex Sat 12:00PM","406","31.23","5","0%","0%","13","384","5,552","87","38","0","20","7","5","3","0","0"
"Northwestern","NW","DST","9","FA","@Purd Thu 8:00PM","402","30.92","4","0%","0%","13","289","5,259","80","27","1","14","9","16","1","0","0"
"Illinois","Ill","DST","10","FA","Kent Sat 12:00PM","396","33","5","0%","0%","12","383","4,861","97","28","1","20","11","7","1","0","0"
"Iowa","Iowa","DST","11","FA","NIU Sat 3:30PM","394","30.31","5","0%","0%","13","245","4,564","60","29","1","15","9","9","2","1","0"
"Rutgers","Rut","DST","12","FA","TxSt Sat 12:00PM","310","25.83","9","0%","0%","12","450","5,408","66","21","0","15","6","8","4","1","0"
"Purdue","Purd","DST","13","FA","NW Thu 8:00PM","302","25.17","6","100%","0%","12","459","5,350","68","21","1","14","4","12","1","1","0"
"Michigan State","MSU","DST","14","FA","UtSt Fri 7:00PM","284","23.67","3","100%","0%","12","333","4,378","56","11","0","9","5","8","2","0","0"
