"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned","+/-","GP","PA","YdA","Stf","Sk","Sft","FF","FR","Int","TDDST","XPB","FGBA"
"Iowa","Iowa","DST","1","FA","NIU Sat 3:30PM","258","19.85","5","0%","0%","13","169","3,664","0","0","1","0","0","23","0","0","0"
"Penn State","PSU","DST","2","FA","App Sat 3:30PM","226","17.38","6","100%","0%","13","187","3,439","0","0","1","0","0","16","0","0","0"
"Ohio State","OHSt","DST","3","FA","OreSt Sat 12:00PM","224","17.23","9","100%","0%","13","181","3,596","0","0","1","0","0","15","0","0","0"
"Michigan State","MSU","DST","4","FA","UtSt Fri 7:00PM","172","13.23","3","100%","0%","13","287","4,435","0","0","1","0","0","14","0","0","0"
"Rutgers","Rut","DST","5","FA","TxSt Sat 12:00PM","166","12.77","9","0%","0%","13","245","4,057","0","0","1","0","0","10","0","0","0"
"Northwestern","NW","DST","6","FA","@Purd Thu 8:00PM","160","12.31","4","0%","0%","13","262","4,192","0","0","1","0","0","13","0","0","0"
"Minnesota","Minn","DST","7","FA","NMSt Thu 7:00PM","142","10.92","5","0%","0%","13","322","4,761","0","0","0","0","0","15","0","0","0"
"Nebraska","Neb","DST","8","FA","Akr Sat 8:00PM","138","10.62","9","0%","0%","13","371","4,279","0","0","1","0","0","12","0","0","0"
"Wisconsin","Wisc","DST","9","FA","W Ky Fri 9:00PM","134","10.31","5","100%","0%","13","345","4,133","0","0","2","0","0","12","0","0","0"
"Maryland","MD","DST","10","FA","Tex Sat 12:00PM","132","10.15","5","0%","0%","13","292","4,597","0","0","0","0","0","10","0","0","0"
"Purdue","Purd","DST","11","FA","NW Thu 8:00PM","116","9.67","6","100%","0%","12","301","4,155","0","0","0","0","0","10","0","0","0"
"Michigan","Mich","DST","12","FA","@ND Sat 7:30PM","110","9.17","9","100%","0%","12","347","4,192","0","0","0","0","0","9","0","0","0"
"Illinois","Ill","DST","13","FA","Kent Sat 12:00PM","102","8.5","5","0%","0%","12","319","4,004","0","0","0","0","0","6","0","0","0"
"Indiana","Ind","DST","14","FA","@FLInt Sat 7:00PM","78","6.5","10","0%","0%","12","423","5,013","0","0","1","0","0","6","0","0","0"
