"Player","Team","Position","Year","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned","+/-","GP","Yds","TD","Int","2Pa","Yds","TD","2Rc","Yds","TD","2Ru","FL","RtY","RtT"
"Blough, David","Purd","QB,FLX","Sr","1","FA","NW Thu 8:00PM","213.5","21.35","6","0%","0%","10","1,574","10","8","0","9","0","0","94","4","0","2","0","0"
"Thorson, Clayton","NW","QB,FLX","Sr","2","FA","@Purd Thu 8:00PM","192.5","14.81","4","0%","0%","13","1,522","7","9","0","0","0","0","397","5","0","3","0","0"
"Jones, Markell","Purd","RB,FLX","Sr","3","FA","NW Thu 8:00PM","181.5","15.12","6","0%","0%","12","0","0","0","0","239","1","0","875","10","0","2","0","0"
"Brooks, Shannon","Minn","RB,FLX","Sr","4","FA","NMSt Thu 7:00PM","162","14.73","5","0%","0%","11","42","1","0","0","167","0","0","709","7","0","2","112","0"
"Scott, LJ","MSU","RB,FLX","Sr","5","FA","UtSt Fri 7:00PM","139","9.93","3","0%","0%","14","0","0","0","0","15","0","0","699","11","0","1","25","0"
"Vault, Solomon","NW","WR,FLX","Sr","6","FA","@Purd Thu 8:00PM","97","7.46","4","0%","0%","13","0","0","0","0","95","0","0","159","0","0","1","657","2"
"Smith, Rodney","Minn","RB,FLX","Sr","7","FA","NMSt Thu 7:00PM","92","7.67","5","100%","0%","12","0","0","0","0","124","0","0","670","2","0","0","0","0"
"Deal, Taiwan","Wisc","RB,FLX","Sr","8","FA","W Ky Fri 9:00PM","91","9.1","5","0%","0%","10","0","0","0","0","4","0","0","503","6","0","0","0","0"
"Morgan, Teldrick","MD","WR,FLX","Sr","9","FA","Tex Sat 12:00PM","91","10.11","5","0%","0%","9","0","0","1","0","543","4","0","11","0","0","0","86","0"
"Morgan Jr., Stanley","Neb","WR,FLX","Sr","10","FA","Akr Sat 8:00PM","78","7.09","9","100%","0%","11","0","0","0","0","304","3","0","0","0","0","0","329","0"
"Dawkins, Brandon","Ind","QB,FLX","Sr","11","FA","@FLInt Sat 7:00PM","69","13.8","10","0%","0%","5","338","2","2","0","18","0","0","179","2","0","0","0","0"
"Knox, D.J.","Purd","RB,FLX","Sr","12","FA","NW Thu 8:00PM","69","6.9","6","0%","0%","10","0","0","0","0","189","0","0","409","2","0","2","46","0"
"Johnson, Ty","MD","RB,FLX","Sr","13","FA","Tex Sat 12:00PM","61.5","6.83","5","0%","0%","9","0","0","0","0","30","0","0","250","3","0","0","166","0"
"Ingold, Alec","Wisc","RB,FLX","Sr","14","FA","W Ky Fri 9:00PM","49.5","6.19","5","0%","0%","8","0","0","0","0","0","0","0","131","6","0","0","32","0"
"Polk, Brandon","PSU","WR,FLX","Jr","15","FA","App Sat 3:30PM","49.5","4.12","6","0%","0%","12","0","0","0","0","57","1","0","159","1","0","0","209","0"
"Jacobs, Taivon","MD","WR,FLX","Sr","16","FA","Tex Sat 12:00PM","46.5","4.23","5","0%","0%","11","0","0","0","0","264","2","0","0","0","0","0","95","0"
"Hilliman, Jonathan","Rut","RB,FLX","Sr","17","FA","TxSt Sat 12:00PM","33.5","8.38","9","0%","0%","4","0","0","0","0","33","0","0","198","2","0","1","0","0"
"Ozigbo, Devine","Neb","RB,FLX","Sr","18","FA","Akr Sat 8:00PM","32.5","4.06","9","0%","0%","8","0","0","0","0","62","0","0","209","1","0","0","0","0"
"Majette, Mike","Ind","RB,FLX","Sr","19","FA","@FLInt Sat 7:00PM","31.5","3.94","10","0%","0%","8","0","0","0","0","44","1","0","181","0","0","0","63","0"
"McSorley, Trace","PSU","QB,FLX","Sr","20","FA","App Sat 3:30PM","28","4.67","6","100%","0%","6","185","2","0","0","0","0","0","43","0","0","0","0","0"
"James, Chris","Wisc","RB,FLX","Sr","21","FA","W Ky Fri 9:00PM","26","2.6","5","0%","0%","10","0","0","0","0","48","0","0","253","0","0","1","0","0"
"Allen, Mark","PSU","RB,FLX","Sr","22","FA","App Sat 3:30PM","23","3.29","6","0%","0%","7","0","0","0","0","44","1","0","98","1","0","1","33","0"
"Herdman, Cole","Purd","TE,FLX","Sr","23","FA","NW Thu 8:00PM","23","2.09","6","0%","0%","11","0","0","0","0","139","2","0","0","0","0","0","0","0"
"Davenport, Jahrvis","MD","WR,FLX","Sr","24","FA","Tex Sat 12:00PM","20.5","4.1","5","0%","0%","5","0","0","0","0","154","1","0","0","0","0","0","0","0"
"Edwards, Avery","MD","TE,FLX","Sr","25","FA","Tex Sat 12:00PM","20","2.86","5","0%","0%","7","0","0","0","0","115","2","0","0","0","0","0","0","0"
"Gossage, Paul","Minn","WR,FLX","Jr","26","FA","NMSt Thu 7:00PM","18.5","2.64","5","0%","0%","7","0","0","0","0","159","1","0","0","0","0","0","0","0"
"Thompkins, DeAndre","PSU","WR,FLX","Sr","27","FA","App Sat 3:30PM","18","1.8","6","0%","0%","10","0","0","0","0","33","0","0","12","1","0","4","178","0"
"Perry, Grant","Mich","WR,FLX","Sr","28","FA","@ND Sat 7:30PM","17","2.83","9","0%","0%","6","0","0","0","0","128","1","0","0","0","0","0","0","0"
"Brookins, Ricky","Ind","RB,FLX","Sr","29","FA","@FLInt Sat 7:00PM","14.5","2.42","10","0%","0%","4","0","0","0","0","0","0","0","72","0","0","1","116","0"
"Brown, Jalen","NW","WR,FLX","Sr","30","FA","@Purd Thu 8:00PM","13","2.17","4","0%","0%","6","0","0","0","0","89","1","0","0","0","0","0","0","0"
"Burgess, Jarrett","Purd","WR,FLX","Sr","31","FA","NW Thu 8:00PM","12","2","6","0%","0%","6","0","0","0","0","20","0","0","60","1","0","0","4","0"
"Mays, Sam","Ill","WR,FLX","Sr","32","FA","Kent Sat 12:00PM","12","3","5","0%","0%","4","0","0","0","0","78","1","0","0","0","0","0","0","0"
"Westbrook, Nick","Ind","WR,FLX","Jr","33","FA","@FLInt Sat 7:00PM","11","2.2","10","100%","0%","5","0","0","0","0","69","1","0","0","0","0","0","0","0"
"Timian, Luke","Ind","WR,FLX","Sr","34","FA","@FLInt Sat 7:00PM","10","5","10","0%","0%","2","0","0","0","0","51","1","0","0","0","0","0","0","0"
"Roberts, Jelani","NW","WR,FLX","Sr","35","FA","@Purd Thu 8:00PM","8","0.89","4","0%","0%","9","0","0","0","0","48","0","0","36","0","0","0","19","0"
"Wilbon, Mikale","Neb","RB,FLX","Sr","36","FA","Akr Sat 8:00PM","5","2.5","9","0%","0%","2","0","0","0","0","28","0","0","35","0","0","0","0","0"
"Davis III, Felton","MSU","WR,FLX","Sr","37","FA","UtSt Fri 7:00PM","4","2","3","100%","0%","2","0","0","0","0","50","0","0","0","0","0","0","0","0"
"Hale, Donavan","Ind","WR,FLX","Jr","38","FA","@FLInt Sat 7:00PM","3","0.75","10","0%","0%","4","0","0","0","0","10","0","0","-4","0","0","0","22","0"
"Nagel, Flynn","NW","WR,FLX","Sr","39","FA","@Purd Thu 8:00PM","3","1","4","0%","0%","3","0","0","0","0","47","0","0","0","0","0","0","-2","0"
"Dixon, Johnnie","OHSt","WR,FLX","Sr","40","FA","OreSt Sat 12:00PM","2","2","9","0%","0%","1","0","0","0","0","29","0","0","0","0","0","0","0","0"
"Edwards, Berkley","Mich","RB,FLX","Sr","41","WW","@ND Sat 7:30PM","2","2","9","0%","0%","1","0","0","0","0","0","0","0","29","0","0","0","0","0"
"Thomas, Johnathan","PSU","RB,FLX","Sr","42","FA","App Sat 3:30PM","2","0.67","6","0%","0%","3","0","0","0","0","0","0","0","42","0","0","0","0","0"
"Higdon, Karan","Mich","RB,FLX","Sr","43","FA","@ND Sat 7:30PM","1","0.33","9","100%","0%","3","0","0","0","0","3","0","0","19","0","0","0","0","0"
"Washington, Jerome","Rut","TE,FLX","Sr","44","FA","TxSt Sat 12:00PM","1","1","9","0%","0%","1","0","0","0","0","13","0","0","0","0","0","0","0","0"
"Dobbins, J.K.","OHSt","RB,FLX","So","45","FA","OreSt Sat 12:00PM","0","0","9","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Fant, Noah","Iowa","TE,FLX","Jr","46","FA","NIU Sat 3:30PM","0","0","5","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Haskins, Dwayne","OHSt","QB,FLX","So","47","FA","OreSt Sat 12:00PM","0","0","9","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Larkin, Jeremy","NW","RB,FLX","So","48","FA","@Purd Thu 8:00PM","0","0","4","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lewerke, Brian","MSU","QB,FLX","Jr","49","FA","UtSt Fri 7:00PM","0","0","3","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Martinez, Adrian","Neb","QB,FLX","Fr","50","FA","Akr Sat 8:00PM","0","0","9","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Patterson, Shea","Mich","QB,FLX","Jr","51","FA","@ND Sat 7:30PM","0","0","9","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sanders, Miles","PSU","RB,FLX","Jr","52","FA","App Sat 3:30PM","0","0","6","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Taylor, Jonathan","Wisc","RB,FLX","So","53","FA","W Ky Fri 9:00PM","0","0","5","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Weber, Mike","OHSt","RB,FLX","Jr","54","FA","OreSt Sat 12:00PM","0","0","9","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Abbott, A.J.","Wisc","WR,FLX","Fr","55","WW","W Ky Fri 9:00PM","0","0","5","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Albericci, Austin","Rut","QB,FLX","Fr","56","WW","TxSt Sat 12:00PM","0","0","9","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alexander, Javez","MSU","WR,FLX","Fr","57","FA","UtSt Fri 7:00PM","0","0","3","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alioth Jr., Chad","Neb","WR,FLX","Fr","58","FA","Akr Sat 8:00PM","0","0","9","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Allen, Austin","Neb","TE,FLX","Fr","59","FA","Akr Sat 8:00PM","0","0","9","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
