"Player","Team","Position","Year","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned","+/-","GP","Yds","TD","Int","2Pa","Yds","TD","2Rc","Yds","TD","2Ru","FL","RtY","RtT"
"McSorley, Trace","PSU","QB,FLX","Sr","1","FA","App Sat 3:30PM","574","41","6","100%","0%","14","3,614","29","8","1","0","0","0","365","7","0","4","0","0"
"Blough, David","Purd","QB,FLX","Sr","2","FA","NW Thu 8:00PM","460.5","38.38","6","0%","0%","12","3,352","25","21","0","8","0","0","12","4","0","2","0","0"
"Thorson, Clayton","NW","QB,FLX","Sr","3","FA","@Purd Thu 8:00PM","439.5","33.81","4","0%","0%","13","3,182","22","9","0","0","0","0","98","5","0","6","0","0"
"Dawkins, Brandon","Ind","QB,FLX","Sr","4","FA","@FLInt Sat 7:00PM","320","32","10","0%","0%","10","1,345","8","6","0","0","0","0","944","10","0","1","0","0"
"Smith, Rodney","Minn","RB,FLX","Sr","5","FA","NMSt Thu 7:00PM","281.5","21.65","5","100%","0%","13","0","0","0","0","188","0","0","1,158","16","0","1","263","1"
"Johnson, Ty","MD","RB,FLX","Sr","6","FA","Tex Sat 12:00PM","199","15.31","5","0%","0%","13","0","0","0","0","206","1","0","1,004","6","0","0","39","0"
"Weber, Mike","OHSt","RB,FLX","Jr","7","FA","OreSt Sat 12:00PM","190.5","14.65","9","100%","0%","13","0","0","0","0","91","0","0","1,096","9","0","2","0","0"
"Scott, LJ","MSU","RB,FLX","Sr","8","FA","UtSt Fri 7:00PM","172.5","14.38","3","0%","0%","12","0","0","0","0","147","1","0","994","6","0","2","0","0"
"Westbrook, Nick","Ind","WR,FLX","Jr","9","FA","@FLInt Sat 7:00PM","158","13.17","10","100%","0%","12","0","0","0","0","995","6","0","3","1","0","0","0","0"
"Patterson, Shea","Mich","QB,FLX","Jr","10","FA","@ND Sat 7:30PM","128.5","42.83","9","100%","0%","3","880","6","3","0","0","0","0","169","0","0","1","0","0"
"Hornibrook, Alex","Wisc","QB,FLX","Jr","11","FA","W Ky Fri 9:00PM","125.5","10.46","5","0%","0%","12","1,262","9","7","0","0","0","0","-81","0","0","1","0","0"
"Brooks, Shannon","Minn","RB,FLX","Sr","12","FA","NMSt Thu 7:00PM","118","11.8","5","0%","0%","10","0","0","0","0","76","2","0","650","5","0","0","44","0"
"Rescigno, Giovanni","Rut","QB,FLX","Sr","13","FA","TxSt Sat 12:00PM","109.5","15.64","9","0%","0%","7","889","5","5","0","0","0","0","107","2","0","2","0","0"
"Morgan, Teldrick","MD","WR,FLX","Sr","14","FA","Tex Sat 12:00PM","107","8.23","5","0%","0%","13","0","0","0","0","497","4","0","34","0","0","0","251","1"
"Jones, Markell","Purd","RB,FLX","Sr","15","FA","NW Thu 8:00PM","102","9.27","6","0%","0%","11","0","0","1","0","215","0","0","616","4","0","2","0","0"
"Harrison III, Lorenzo","MD","RB,FLX","Jr","16","FA","Tex Sat 12:00PM","99.5","11.06","5","0%","0%","9","0","0","0","0","72","0","0","633","5","0","1","15","0"
"Evans, Chris","Mich","RB,FLX","Jr","17","FA","@ND Sat 7:30PM","99","7.62","9","0%","0%","13","0","0","0","0","87","0","0","614","4","0","0","41","0"
"Sanders, Miles","PSU","RB,FLX","Jr","18","FA","App Sat 3:30PM","94.5","7.27","6","100%","0%","13","0","0","0","0","24","1","0","184","1","0","3","688","0"
"Vault, Solomon","NW","WR,FLX","Sr","19","FA","@Purd Thu 8:00PM","89.5","6.88","4","0%","0%","13","0","0","0","0","164","2","0","26","0","0","0","560","1"
"Hilliman, Jonathan","Rut","RB,FLX","Sr","20","FA","TxSt Sat 12:00PM","89","7.42","9","0%","0%","12","0","0","0","0","2","0","0","542","6","0","1","0","0"
"Higdon, Karan","Mich","RB,FLX","Sr","21","FA","@ND Sat 7:30PM","82.5","6.88","9","100%","0%","12","0","0","0","0","0","0","0","431","6","0","0","0","0"
"Bryant, Tre","Neb","RB,FLX","Jr","22","FA","Akr Sat 8:00PM","82","6.83","9","0%","0%","12","0","0","0","0","56","1","0","172","1","0","0","508","0"
"Campbell, Parris","OHSt","WR,FLX","Sr","23","FA","OreSt Sat 12:00PM","80.5","6.71","9","0%","0%","12","0","0","0","0","121","0","0","54","1","0","0","584","0"
"Ozigbo, Devine","Neb","RB,FLX","Sr","24","FA","Akr Sat 8:00PM","79","8.78","9","0%","0%","9","0","0","0","0","100","0","0","412","5","0","1","0","0"
"Corbin, Reggie","Ill","RB,FLX","Jr","25","FA","Kent Sat 12:00PM","76.5","6.38","5","0%","0%","12","0","0","0","0","112","0","0","523","2","0","1","0","0"
"Lewis, Rayshad","MD","WR,FLX,DB","So","26","FA","Tex Sat 12:00PM","76","6.33","5","0%","0%","12","0","0","0","0","469","2","0","110","1","0","0","0","0"
"Shaw, Bradrick","Wisc","RB,FLX","Jr","27","FA","W Ky Fri 9:00PM","74","7.4","5","0%","0%","10","0","0","0","0","6","0","0","457","5","0","1","0","0"
"Nagel, Flynn","NW","WR,FLX","Sr","28","FA","@Purd Thu 8:00PM","72","6.55","4","0%","0%","11","0","0","0","0","447","2","0","0","0","0","0","230","0"
"Pigrome, Tyrrell","MD","QB,FLX","So","29","FA","Tex Sat 12:00PM","69","6.27","5","0%","0%","11","322","2","2","0","0","0","0","254","4","0","1","0","0"
"McCall, Demario","OHSt","RB,WR,FLX","So","30","FA","OreSt Sat 12:00PM","59.5","11.9","9","0%","0%","5","0","0","0","0","84","1","0","270","3","0","0","14","0"
"Brown, Jalen","NW","WR,FLX","Sr","31","FA","@Purd Thu 8:00PM","57","6.33","4","0%","0%","9","33","1","0","0","318","3","0","0","0","0","0","0","0"
"Moten IV, John","NW","RB,FLX","Jr","32","FA","@Purd Thu 8:00PM","53","4.82","4","0%","0%","11","0","0","0","0","44","0","0","340","2","0","0","0","0"
