"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned","+/-","GP","PA","YdA","Stf","Sk","Sft","FF","FR","Int","TDDST","XPB","FGBA"
"Michigan State","MSU","DST","1","FA","UtSt Fri 7:00PM","426","30.43","3","100%","0%","14","257","3,884","0","45","1","22","7","18","7","0","0"
"Rutgers","Rut","DST","2","FA","TxSt Sat 12:00PM","390","30","9","0%","0%","13","238","4,049","0","36","0","26","15","19","6","0","0"
"Wisconsin","Wisc","DST","3","FA","W Ky Fri 9:00PM","352","25.14","5","100%","0%","14","266","4,430","0","25","0","29","10","16","3","1","0"
"Illinois","Ill","DST","4","FA","Kent Sat 12:00PM","350","26.92","5","0%","0%","13","255","3,720","0","41","0","31","12","10","3","0","0"
"Michigan","Mich","DST","5","FA","@ND Sat 7:30PM","336","25.85","9","100%","0%","13","226","4,188","0","30","2","25","20","9","3","1","0"
"Penn State","PSU","DST","6","FA","App Sat 3:30PM","306","23.54","6","100%","0%","13","218","4,211","0","31","0","16","12","14","1","0","0"
"Ohio State","OHSt","DST","7","FA","OreSt Sat 12:00PM","274","21.08","9","100%","0%","13","273","4,206","0","23","0","21","7","13","1","1","0"
"Purdue","Purd","DST","8","FA","NW Thu 8:00PM","246","18.92","6","100%","0%","13","349","5,147","0","22","1","20","9","12","3","0","0"
"Iowa","Iowa","DST","9","FA","NIU Sat 3:30PM","234","18","5","0%","0%","13","310","4,926","0","20","0","26","9","10","2","0","0"
"Nebraska","Neb","DST","10","FA","Akr Sat 8:00PM","234","18","9","0%","0%","13","304","4,559","0","21","0","16","8","10","2","1","0"
"Maryland","MD","DST","11","FA","Tex Sat 12:00PM","232","19.33","5","0%","0%","12","411","5,486","0","26","0","23","16","11","5","0","0"
"Northwestern","NW","DST","12","FA","@Purd Thu 8:00PM","182","14","4","0%","0%","13","360","5,292","0","17","0","16","8","12","0","0","0"
"Indiana","Ind","DST","13","FA","@FLInt Sat 7:00PM","160","13.33","10","0%","0%","12","448","5,504","0","18","0","19","11","5","3","0","0"
"Minnesota","Minn","DST","14","FA","NMSt Thu 7:00PM","154","12.83","5","0%","0%","12","380","4,837","0","19","0","13","5","4","3","0","0"
