"Player","Team","Position","Year","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned","+/-","GP","FRTDY","Int","IntYd","Sk","SkY","Tk","Stf","StY","Sft","RtTY","BFGTDY","TD"
"Edwards, T.J.","Wisc","LB","Sr","1","FA","W Ky Fri 9:00PM","186.5","14.35","5","-","-","13","0","0","0","0.0","0","84","6.5","11","0","0","0","0"
"Crawford, Jonathan","Ind","DB","Sr","2","FA","@FLInt Sat 7:00PM","178.3","14.86","10","-","-","12","0","4","33","1.0","9","68","1","9","0","0","0","0"
"Young II, Dedrick","Neb","LB","Sr","3","FA","Akr Sat 8:00PM","134","12.18","9","-","-","11","0","0","0","0.0","0","61","4","8","0","0","0","0"
"Wharton, Isaiah","Rut","DB","Sr","4","FA","TxSt Sat 12:00PM","129","10.75","9","-","-","12","0","1","0","0.0","0","55","3","14","0","0","0","0"
"Hesse, Parker","Iowa","DL","Sr","5","FA","NIU Sat 3:30PM","124.4","8.89","5","-","-","14","0","1","4","2.0","8","44","3","12","0","0","0","1"
"Hall, Nate","NW","LB","Sr","6","FA","@Purd Thu 8:00PM","118.5","10.77","4","-","-","11","0","0","0","0.0","0","56","2.5","3","0","0","0","0"
"Akinmoladun, Freedom","Neb","DL","Sr","7","FA","Akr Sat 8:00PM","113.5","14.19","9","-","-","8","0","0","0","4.5","36","21","6.5","45","0","0","0","0"
"Neal, Tre","Neb","DB","Sr","8","WW","Akr Sat 8:00PM","111","11.1","9","-","-","10","0","0","0","0.0","0","55","0.5","0","0","0","0","0"
"Orr, Chris","Wisc","LB","Jr","9","FA","W Ky Fri 9:00PM","106","10.6","5","-","-","10","0","0","0","0.5","5","46","2","11","0","0","0","0"
"Aniebonam, Jesse","MD","DL","Sr","10","FA","Tex Sat 12:00PM","92.5","9.25","5","-","-","10","0","0","0","3.5","16","23","6.5","23","0","0","0","0"
"Huff, Julian","Minn","LB","Sr","11","FA","NMSt Thu 7:00PM","89","8.9","5","-","-","10","0","0","0","2.5","26","22","3.5","30","0","0","0","0"
"Austin, Blessuan","Rut","DB","Sr","12","FA","TxSt Sat 12:00PM","88.5","8.85","9","-","-","10","0","1","50","0.0","0","32","2","7","0","0","0","1"
"Hester, Kiy","Rut","DB","Sr","13","WW","TxSt Sat 12:00PM","85.5","10.69","9","-","-","8","0","1","0","0.0","0","37","1.5","5","0","0","0","0"
"Reid, John","PSU","DB","Jr","14","FA","App Sat 3:30PM","77.4","6.45","6","-","-","12","0","2","44","0.0","0","29","1","2","0","0","0","0"
"Brown Jr., Andre","Ind","DB","Jr","15","FA","@FLInt Sat 7:00PM","66","8.25","10","-","-","8","0","0","0","0.0","0","33","0","0","0","0","0","0"
"Hampton, Saquan","Rut","DB","Sr","16","FA","TxSt Sat 12:00PM","66","7.33","9","-","-","9","0","1","0","0.0","0","28","1","4","0","0","0","0"
"Williams, Aaron","Neb","DB","Sr","17","FA","Akr Sat 8:00PM","58.5","8.36","9","-","-","7","0","0","0","0.0","0","24","3","9","0","0","0","0"
"Miller, Grayson","MSU","LB,DB","Sr","18","FA","UtSt Fri 7:00PM","56.5","8.07","3","-","-","7","0","1","0","0.0","0","24","1","1","0","0","0","0"
"Watson, Tre","MD","LB","Sr","19","FA","Tex Sat 12:00PM","55","6.11","5","-","-","9","0","0","0","1.0","7","21","1","7","0","0","0","0"
"Wilkins, Kevin","Rut","DL","Sr","20","FA","TxSt Sat 12:00PM","53.5","6.69","9","-","-","8","0","1","10","0.5","3","14","4.5","12","0","0","0","0"
"Brown, Torrence","PSU","DL","Sr","21","FA","App Sat 3:30PM","48","9.6","6","-","-","5","0","0","0","1.5","4","11","5.5","14","0","0","0","0"
"Butler, Jabari","PSU","DB","Jr","22","FA","App Sat 3:30PM","47.4","11.85","6","-","-","4","0","6","114","0.0","0","0","0","0","0","0","0","0"
"Dowell, Andrew","MSU","LB","Sr","23","FA","UtSt Fri 7:00PM","47","5.88","3","-","-","8","0","0","0","0.0","0","22","1","2","0","0","0","0"
"Booker, Dante","OHSt","LB","Sr","24","FA","OreSt Sat 12:00PM","46.5","6.64","9","-","-","7","0","0","0","0.0","0","22","1","1","0","0","0","0"
"Cooper, Jake","PSU","LB","Sr","25","FA","App Sat 3:30PM","40.5","6.75","6","-","-","6","0","0","0","1.0","11","13","1.5","4","0","0","0","0"
"Bowen, Manny","PSU","LB","Sr","26","WW","App Sat 3:30PM","38","4.75","6","-","-","8","0","0","0","0.0","0","18","0.5","2","0","0","0","0"
"Samuels, Kayton","Ind","DL","Sr","27","FA","@FLInt Sat 7:00PM","37","4.62","10","-","-","8","0","0","0","0.0","0","15","2.5","4","0","0","0","0"
"Nelson, Matt","Iowa","DL","Sr","28","FA","NIU Sat 3:30PM","34","4.86","5","-","-","7","0","0","0","0.5","2","13","1.5","4","0","0","0","0"
"Connelly, Ryan","Wisc","LB","Sr","29","FA","W Ky Fri 9:00PM","33.5","4.79","5","-","-","7","0","0","0","0.0","0","15","1","3","0","0","0","0"
"Thompson, Jordan","NW","DL","Sr","30","FA","@Purd Thu 8:00PM","32","3.2","4","-","-","10","0","0","0","0.0","0","15","0.5","2","0","0","0","0"
"Dixon, D'Cota","Wisc","DB","Sr","31","FA","W Ky Fri 9:00PM","30","3.75","5","-","-","8","0","0","0","0.0","0","15","0","0","0","0","0","0"
