"Player","Team","Position","Year","Rk","Status","Opponent","FPts","FP/G","%D","ADP","Bye","GP","Yds","TD","Int","2Pa","Yds","TD","2Rc","Yds","TD","2Ru","FL","RtY","RtT"
"Anthony, Max","Rut","RB,FLX","Jr","150","FA","TxSt Sat 12:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Arcangelo, Joe","PSU","TE,FLX","Jr","151","FA","App Sat 3:30PM","0","0","0%","-","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Armour, Alfred","Purd","RB,FLX","Fr","152","WW","NW Thu 8:00PM","0","0","0%","-","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Babb, Kamryn","OHSt","WR,FLX","Fr","153","FA","OreSt Sat 12:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Baldwin, Matthew","OHSt","QB,FLX","Fr","154","FA","OreSt Sat 12:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Banker, Christian","Neb","WR,FLX","Fr","155","FA","Akr Sat 8:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Banks, Aaron","Purd","QB,FLX","Sr","156","FA","NW Thu 8:00PM","0","0","0%","-","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Barker, Daniel","Ill","TE,FLX","Fr","157","FA","Kent Sat 12:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Barnes, Noah","MD","TE,FLX","So","158","FA","Tex Sat 12:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Barrett, Michael","Mich","RB,FLX","Fr","159","WW","@ND Sat 7:30PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Barton, Khylin","MSU","WR,FLX","So","160","FA","UtSt Fri 7:00PM","0","0","0%","-","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Baty, Ramsey","Mich","TE,FLX","Fr","161","WW","@ND Sat 7:30PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beebe, Colton","Minn","TE,FLX","Jr","162","FA","NMSt Thu 7:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bell, Ronnie","Mich","WR,FLX","Fr","163","WW","@ND Sat 7:30PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belt, Brody","Neb","RB,FLX","Fr","164","FA","Akr Sat 8:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Benzschawel, Luke","Wisc","TE,FLX","So","165","FA","W Ky Fri 9:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Berry, Justin","Ind","WR,FLX","So","166","FA","@FLInt Sat 7:00PM","0","0","0%","-","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beyer, Shaun","Iowa","TE,FLX","So","167","FA","NIU Sat 3:30PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bican, Gage","OHSt","WR,FLX","Jr","168","FA","OreSt Sat 12:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bican, Luciano","OHSt","WR,FLX","Jr","169","FA","OreSt Sat 12:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bjorson, Matt","Ind","TE,FLX","Fr","170","WW","@FLInt Sat 7:00PM","0","0","0%","-","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bonner, Jordan","Purd","WR,FLX","Fr","171","WW","NW Thu 8:00PM","0","0","0%","-","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bonner, Shaun","Ind","TE,FLX","So","172","FA","@FLInt Sat 7:00PM","0","0","0%","-","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bortenschlager, Max","MD","QB,FLX","Jr","173","FA","Tex Sat 12:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bousky, Alex","NW","RB,WR,FLX","Sr","174","FA","@Purd Thu 8:00PM","0","0","0%","-","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bowser, Isaiah","NW","RB,FLX","Fr","175","FA","@Purd Thu 8:00PM","0","0","0%","-","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bradley, Jaylin","Neb","RB,FLX","So","176","FA","Akr Sat 8:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brookins, Ricky","Ind","RB,FLX","Sr","177","FA","@FLInt Sat 7:00PM","0","0","0%","-","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brooks, Blair","Iowa","WR,FLX","Fr","178","FA","NIU Sat 3:30PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brooks, Shannon","Minn","RB,FLX","Sr","179","FA","NMSt Thu 7:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brown, Cameron","OHSt","WR,FLX","Fr","180","FA","OreSt Sat 12:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brown, Jalen","NW","WR,FLX","Sr","181","FA","@Purd Thu 8:00PM","0","0","0%","-","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brown, Journey","PSU","RB,FLX","Fr","182","FA","App Sat 3:30PM","0","0","0%","-","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brown, Justin","MD","WR,FLX","Fr","183","WW","Tex Sat 12:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brown, Matt","Mich","RB,FLX","So","184","FA","@ND Sat 7:30PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brumbaugh, Legend","MD","QB,FLX","So","185","FA","Tex Sat 12:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bryan, Kyshaun","Iowa","RB,FLX","Fr","186","FA","NIU Sat 3:30PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Buckman, Luke","Mich","TE,FLX","Fr","187","WW","@ND Sat 7:30PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bunch, Andrew","Neb","QB,FLX","So","188","FA","Akr Sat 8:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Burgess, Jarrett","Purd","WR,FLX","Sr","189","FA","NW Thu 8:00PM","0","0","0%","-","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bursch, Nathan","Minn","TE,FLX","Fr","190","FA","NMSt Thu 7:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Burton, Reid","MSU","RB,FLX","So","191","FA","UtSt Fri 7:00PM","0","0","0%","-","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bush, AJ","Ill","QB,FLX","Sr","192","WW","Kent Sat 12:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bush, Peter","Mich","RB,FLX","Jr","193","FA","@ND Sat 7:30PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Capehart, Tahj","MD","WR,FLX","So","194","FA","Tex Sat 12:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Carollo, Danny","Purd","QB,FLX","So","195","FA","NW Thu 8:00PM","0","0","0%","-","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Carriere, Carlos","MD","WR,FLX","Fr","196","FA","Tex Sat 12:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Carter, Edwin","Ill","WR,FLX","Fr","197","FA","Kent Sat 12:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Carter, Nate","Wisc","QB,FLX","Fr","198","WW","W Ky Fri 9:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Catlett, Keyron","Purd","WR,FLX","So","199","FA","NW Thu 8:00PM","0","0","0%","-","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chaffin, Ty","Neb","WR,FLX","So","200","FA","Akr Sat 8:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Char, Jared","Mich","RB,FLX","Jr","201","FA","@ND Sat 7:30PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chatman, Jalen","Rut","QB,FLX","Fr","202","FA","TxSt Sat 12:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chenal, John","Wisc","RB,FLX","Fr","203","WW","W Ky Fri 9:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chiaokhiao-Bowman, Ramaud","NW","WR,FLX","So","204","FA","@Purd Thu 8:00PM","0","0","0%","-","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chisena, Dan","PSU","WR,FLX","Jr","205","FA","App Sat 3:30PM","0","0","0%","-","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Clarkin, Brian","MD","QB,FLX","Fr","206","WW","Tex Sat 12:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Clifford, Sean","PSU","QB,FLX","Fr","207","FA","App Sat 3:30PM","0","0","0%","-","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Coan, Jack","Wisc","QB,FLX","So","208","FA","W Ky Fri 9:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cobbs, Brian","MD","WR,FLX","Fr","209","WW","Tex Sat 12:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Collins, Nico","Mich","WR,FLX","So","210","FA","@ND Sat 7:30PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Collinsworth, Jake","Wisc","RB,FLX,LB","Fr","211","FA","W Ky Fri 9:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Comma, Jayden","MD","WR,FLX","Fr","212","FA","Tex Sat 12:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cook, Drew","Iowa","TE,FLX","Jr","213","FA","NIU Sat 3:30PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cooper, Max","Iowa","WR,FLX","So","214","FA","NIU Sat 3:30PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cornwell, Michael","MD","WR,TE,FLX","Sr","215","FA","Tex Sat 12:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cromer, Alec","Neb","QB,FLX","So","216","FA","Akr Sat 8:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cruickshank, Aron","Wisc","WR,FLX","Fr","217","FA","W Ky Fri 9:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Curtis, Kory","OHSt","QB,FLX","So","218","FA","OreSt Sat 12:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dafney, Dominique","Iowa","WR,FLX","Jr","219","FA","NIU Sat 3:30PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dalton, Danny","PSU","TE,FLX","So","220","FA","App Sat 3:30PM","0","0","0%","-","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Davin, Brock","OHSt","TE,FLX","Jr","221","FA","OreSt Sat 12:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Davis, Drake","Ill","QB,FLX","Fr","222","FA","Kent Sat 12:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Davis, Noah","MSU","TE,FLX","So","223","FA","UtSt Fri 7:00PM","0","0","0%","-","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Davis, Trenard","Ill","WR,FLX","Jr","224","FA","Kent Sat 12:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Day, Theo","MSU","QB,FLX","Fr","225","FA","UtSt Fri 7:00PM","0","0","0%","-","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Deal, Taiwan","Wisc","RB,FLX","Sr","226","FA","W Ky Fri 9:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Deland, Ethan","Mich","WR,FLX","Fr","227","WW","@ND Sat 7:30PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Demus, Dontay","MD","WR,FLX","Fr","228","WW","Tex Sat 12:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"DeSue, Tyler","MD","QB,FLX","Fr","229","FA","Tex Sat 12:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dorris, Austin","Ind","TE,FLX","Jr","230","FA","@FLInt Sat 7:00PM","0","0","0%","-","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dotson, Jahan","PSU","WR,FLX","Fr","231","FA","App Sat 3:30PM","0","0","0%","-","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dotson, Malcolm","Purd","WR,FLX","Jr","232","FA","NW Thu 8:00PM","0","0","0%","-","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dotson, Matt","MSU","TE,FLX","So","233","FA","UtSt Fri 7:00PM","0","0","0%","-","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Downer, Ryan","Rut","WR,FLX","Fr","234","WW","TxSt Sat 12:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Duarte, Tate","OHSt","TE,FLX","Sr","235","FA","OreSt Sat 12:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dunn, Jack","Wisc","WR,FLX","So","236","FA","W Ky Fri 9:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Durham, Payne","Purd","TE,FLX","Fr","237","WW","NW Thu 8:00PM","0","0","0%","-","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Edwards, Avery","MD","TE,FLX","Sr","238","FA","Tex Sat 12:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Edwards, Berkley","Mich","RB,FLX","Sr","239","WW","@ND Sat 7:30PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ellis, Bradley","Ind","WR,FLX","Fr","240","WW","@FLInt Sat 7:00PM","0","0","0%","-","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ellison, Noah","Purd","WR,FLX","Fr","241","FA","NW Thu 8:00PM","0","0","0%","-","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Enoli, Madu","OHSt","RB,FLX","So","242","FA","OreSt Sat 12:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eschenbach, Jack","Wisc","TE,FLX","Fr","243","WW","W Ky Fri 9:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eshoo, Eric","NW","TE,FLX","So","244","FA","@Purd Thu 8:00PM","0","0","0%","-","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eubanks, Nick","Mich","TE,FLX","Jr","245","FA","@ND Sat 7:30PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eury, Nick","PSU","RB,FLX","So","246","FA","App Sat 3:30PM","0","0","0%","-","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Evans, Samson","Iowa","WR,FLX","Fr","247","FA","NIU Sat 3:30PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Farrell, Luke","OHSt","TE,FLX","So","248","FA","OreSt Sat 12:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Felton, David","Ind","WR,FLX","Fr","249","FA","@FLInt Sat 7:00PM","0","0","0%","-","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Femi-Cole, Jonathan","Minn","RB,FLX","Jr","250","FA","NMSt Thu 7:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ferris, Kenneth","Mich","TE,FLX","Sr","251","FA","@ND Sat 7:30PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Files, Joseph","Mich","TE,FLX","Sr","252","FA","@ND Sat 7:30PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Fleet-Davis, Tayon","MD","RB,FLX","So","253","FA","Tex Sat 12:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Flowers, Emmanuel","MSU","WR,FLX,DB","Fr","254","FA","UtSt Fri 7:00PM","0","0","0%","-","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Folkers, Bennett","Neb","WR,FLX","Fr","255","FA","Akr Sat 8:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Franklin, Benaiah","Purd","WR,FLX","So","256","FA","NW Thu 8:00PM","0","0","0%","-","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Freiermuth, Pat","PSU","TE,FLX","Fr","257","FA","App Sat 3:30PM","0","0","0%","-","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Fryfogle, Ty","Ind","WR,FLX","So","258","FA","@FLInt Sat 7:00PM","0","0","0%","-","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Funk, Jake","MD","RB,FLX","Jr","259","FA","Tex Sat 12:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gajcak, Chris","Ind","WR,FLX","Jr","260","FA","@FLInt Sat 7:00PM","0","0","0%","-","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardiner, Ellijah","OHSt","WR,FLX","Fr","261","FA","OreSt Sat 12:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Garrett, Julian","Mich","RB,FLX","Fr","262","WW","@ND Sat 7:30PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Geary, Clay","Minn","WR,FLX","So","263","FA","NMSt Thu 7:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Geil, Henry","Iowa","RB,FLX","Fr","264","FA","NIU Sat 3:30PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gentry, Zach","Mich","TE,FLX","Sr","265","FA","@ND Sat 7:30PM","0","0","76%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"George, Daniel","PSU","WR,FLX","Fr","266","FA","App Sat 3:30PM","0","0","0%","-","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"George, Jeff","Mich","QB,FLX","Sr","267","WW","@ND Sat 7:30PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gianacakos, Chase","MSU","TE,FLX","Sr","268","FA","UtSt Fri 7:00PM","0","0","0%","-","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gibson, Erik","Minn","WR,FLX","Fr","269","FA","NMSt Thu 7:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gill, Jaelen","OHSt","RB,FLX","Fr","270","FA","OreSt Sat 12:00PM","0","0","11%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gossage, Paul","Minn","WR,FLX","Jr","271","FA","NMSt Thu 7:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Grady, Kyle","Mich","QB,FLX","Fr","272","WW","@ND Sat 7:30PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Green, Cade","Wisc","WR,FLX","Fr","273","FA","W Ky Fri 9:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Green, Carmoni","Ill","WR,FLX","So","274","FA","Kent Sat 12:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Green, Seth","Minn","QB,TE,FLX","So","275","FA","NMSt Thu 7:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Green, TJ","NW","QB,FLX","Jr","276","FA","@Purd Thu 8:00PM","0","0","0%","-","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gregoire, Mike","Wisc","WR,FLX","Fr","277","WW","W Ky Fri 9:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Griffin-Stewart, Nakia","Rut","TE,FLX","Jr","278","FA","TxSt Sat 12:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Groeneweg, Kyle","Iowa","WR,FLX","Sr","279","FA","NIU Sat 3:30PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Grosz, Tyler","Mich","WR,FLX","Sr","280","WW","@ND Sat 7:30PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Guerendo, Isaac","Wisc","RB,FLX","Fr","281","WW","W Ky Fri 9:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hamilton, Tyler","Purd","WR,FLX","Fr","282","FA","NW Thu 8:00PM","0","0","0%","-","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hamler, KJ","PSU","WR,FLX","Fr","283","FA","App Sat 3:30PM","0","0","0%","-","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hanaoka, Chad","NW","RB,FLX","Sr","284","FA","@Purd Thu 8:00PM","0","0","0%","-","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hanks, Javis","Rut","WR,FLX","Fr","285","WW","TxSt Sat 12:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harris II, J-Shun","Ind","WR,FLX","Sr","286","FA","@FLInt Sat 7:00PM","0","0","0%","-","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harris, Jaylen","OHSt","WR,FLX","So","287","FA","OreSt Sat 12:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Haskins, Hassan","Mich","RB,FLX","Fr","288","WW","@ND Sat 7:30PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hausmann, Jake","OHSt","TE,FLX","So","289","FA","OreSt Sat 12:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hayek, Hunter","Rut","WR,FLX","So","290","FA","TxSt Sat 12:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hayes, C.J.","MSU","WR,FLX","Fr","291","FA","UtSt Fri 7:00PM","0","0","0%","-","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hayes, Ryan","Mich","TE,FLX","Fr","292","WW","@ND Sat 7:30PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hemphill, Austin","Neb","RB,FLX","Jr","293","FA","Akr Sat 8:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hendershot, Peyton","Ind","TE,FLX","Fr","294","FA","@FLInt Sat 7:00PM","0","0","0%","-","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hewitt, Jacolby","Ind","WR,FLX","Fr","295","FA","@FLInt Sat 7:00PM","0","0","0%","-","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hewlett, Joe","Mich","RB,FLX","Sr","296","FA","@ND Sat 7:30PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hippenhammer, Mac","PSU","WR,FLX","Fr","297","FA","App Sat 3:30PM","0","0","0%","-","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hoenstine, Alex","PSU","WR,FLX","Fr","298","FA","App Sat 3:30PM","0","0","0%","-","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hohenstein, Branden","Neb","TE,FLX","So","299","FA","Akr Sat 8:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Holland, Jonathan","PSU","TE,FLX","Jr","300","FA","App Sat 3:30PM","0","0","1%","-","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Holm, Justin","Neb","WR,FLX","Fr","301","FA","Akr Sat 8:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Holman, Berkeley","NW","WR,FLX","Fr","302","FA","@Purd Thu 8:00PM","0","0","0%","-","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Holman, Zac","Ill","WR,FLX,DB","Sr","303","FA","Kent Sat 12:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Holmes, Jordan","Ill","WR,FLX","Fr","304","FA","Kent Sat 12:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Honas, Todd","Neb","WR,FLX","So","305","FA","Akr Sat 8:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Horvath, Alexander","Purd","RB,FLX","Fr","306","FA","NW Thu 8:00PM","0","0","0%","-","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hunt, Andre","Neb","WR,FLX","Fr","307","FA","Akr Sat 8:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ingold, Alec","Wisc","RB,FLX","Sr","308","FA","W Ky Fri 9:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ivy, TJ","Ind","TE,FLX","Fr","309","WW","@FLInt Sat 7:00PM","0","0","0%","-","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jabbie, Mohamed","Rut","WR,FLX","So","310","FA","TxSt Sat 12:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James, Ryan","Purd","WR,FLX","Fr","311","FA","NW Thu 8:00PM","0","0","0%","-","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Janes, Max","Minn","TE,FLX","Fr","312","FA","NMSt Thu 7:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jarrell, MJ","MD","WR,FLX","Fr","313","FA","Tex Sat 12:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson, JJ","NW","WR,FLX","Fr","314","FA","@Purd Thu 8:00PM","0","0","0%","-","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jelen, Preston","Minn","RB,FLX","Fr","315","FA","NMSt Thu 7:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
