"Player","Team","Position","Year","Rk","Status","Opponent","FPts","FP/G","%D","ADP","Bye","GP","Yds","TD","Int","2Pa","Yds","TD","2Rc","Yds","TD","2Ru","FL","RtY","RtT"
"Dudek, Mike","Ill","WR,FLX","Sr","36","FA","Kent Sat 12:00PM","36","3","14%","193.95","5","12","0","0","0","0","294","2","0","0","0","0","0","0","0"
"Johnson, Tyler","Minn","WR,FLX","Jr","37","FA","NMSt Thu 7:00PM","126","10.5","100%","198.21","5","12","0","0","0","0","815","8","0","0","0","0","0","0","0"
"Bell, Greg","Neb","RB,FLX","Jr","38","FA","Akr Sat 8:00PM","108","9","100%","199.94","9","12","0","0","0","0","118","0","0","682","8","0","0","0","0"
"Lindsey, Tyjon","Neb","WR,FLX","So","39","FA","Akr Sat 8:00PM","54","4.5","70%","214.55","9","12","0","0","0","0","459","3","0","31","0","0","0","0","0"
"Pigrome, Tyrrell","MD","QB,FLX","So","40","FA","Tex Sat 12:00PM","274","30.44","68%","234","5","9","1783","14","7","0","0","0","0","427","6","0","0","0","0"
"Dawkins, Brandon","Ind","QB,FLX","Sr","41","FA","@FLInt Sat 7:00PM","258","32.25","13%","239.01","10","8","1952","12","9","0","0","0","0","405","6","0","0","0","0"
"Cephus, Quintez","Wisc","WR,FLX","Jr","42","FA","W Ky Fri 9:00PM","102","8.5","9%","259.28","5","12","0","0","0","0","638","7","0","0","0","0","0","0","0"
"Jacobs, Taivon","MD","WR,FLX","Sr","43","FA","Tex Sat 12:00PM","96","8","13%","268.6","5","12","0","0","0","0","708","6","0","0","0","0","0","0","0"
"Ellison, Morgan","Ind","RB,FLX","So","44","FA","@FLInt Sat 7:00PM","126","10.5","68%","270","10","12","0","0","0","0","59","0","0","778","8","0","0","0","0"
"Bowers, Nick","PSU","TE,FLX","Jr","45","FA","App Sat 3:30PM","0","0","9%","285.76","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Davis III, Danny","Wisc","WR,FLX","So","46","FA","W Ky Fri 9:00PM","60","5","3%","305.1","5","12","0","0","0","0","415","4","0","31","0","0","0","0","0"
"Feldman, Noah","Iowa","TE,FLX","Fr","47","FA","NIU Sat 3:30PM","0","0","0%","308.1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Penniston, Kyle","Wisc","TE,FLX","Jr","48","FA","W Ky Fri 9:00PM","6","0.5","3%","331.9","5","12","0","0","0","0","97","1","0","0","0","0","0","0","0"
"Blackshear, Raheem","Rut","RB,FLX","So","49","FA","TxSt Sat 12:00PM","150","12.5","7%","344.2","9","12","0","0","0","0","254","3","0","640","7","0","0","0","1"
"Dixon, Johnnie","OHSt","WR,FLX","Sr","50","FA","OreSt Sat 12:00PM","54","6.75","3%","350.91","9","8","0","0","0","0","368","3","0","0","0","0","0","0","0"
"Kelly-Martin, Ivory","Iowa","RB,FLX","So","51","FA","NIU Sat 3:30PM","144","12","15%","355.21","5","12","0","0","0","0","180","2","0","801","7","0","0","0","0"
"Thompkins, DeAndre","PSU","WR,FLX","Sr","52","FA","App Sat 3:30PM","96","8","3%","365.5","6","12","0","0","0","0","705","6","0","0","0","0","0","0","0"
"Washington, Maurice","Neb","RB,FLX","Fr","53","FA","Akr Sat 8:00PM","0","0","10%","366.4","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gebbia, Tristan","Neb","QB,FLX","Fr","54","FA","Akr Sat 8:00PM","0","0","6%","367.4","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hockenson, T.J.","Iowa","TE,FLX","So","55","FA","NIU Sat 3:30PM","48","4","8%","384.98","5","12","0","0","0","0","296","4","0","0","0","0","0","0","0"
"Stewart Jr., Darrell","MSU","WR,FLX","Jr","56","FA","UtSt Fri 7:00PM","72","6","6%","386.1","3","12","0","0","0","0","589","3","0","91","1","0","0","0","0"
"Stoll, Jack","Neb","TE,FLX","So","57","FA","Akr Sat 8:00PM","18","1.5","6%","389.1","9","12","0","0","0","0","123","1","0","0","0","0","0","0","0"
"Ruckert, Jeremy","OHSt","TE,FLX","Fr","58","FA","OreSt Sat 12:00PM","0","0","3%","399.9","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Smalling, Ricky","Ill","WR,FLX","So","59","FA","Kent Sat 12:00PM","72","6","1%","407.2","5","12","0","0","0","0","569","4","0","0","0","0","0","0","0"
"Vokolek, Travis","Rut","TE,FLX","So","60","FA","TxSt Sat 12:00PM","36","3","1%","427.8","9","12","0","0","0","0","270","2","0","0","0","0","0","0","0"
"James, Chris","Wisc","RB,FLX","Sr","61","FA","W Ky Fri 9:00PM","36","3.6","0%","443.2","5","10","0","0","0","0","49","0","0","273","2","0","0","0","0"
"Washington, Jerome","Rut","TE,FLX","Sr","62","FA","TxSt Sat 12:00PM","54","4.5","3%","455.9","9","12","0","0","0","0","386","3","0","0","0","0","0","0","0"
"Slade, Ricky","PSU","RB,FLX","Fr","63","FA","App Sat 3:30PM","18","1.5","2%","498.6","6","12","0","0","0","0","26","0","0","145","1","0","0","0","0"
"McFarland, Anthony","MD","RB,FLX","Fr","64","FA","Tex Sat 12:00PM","96","8","3%","500.1","5","12","0","0","0","0","112","1","0","600","5","0","0","0","0"
