"Player","Team","Position","Year","Rk","Status","Opponent","FPts","FP/G","%D","ADP","Bye","% Owned"
"Ohio State","OHSt","DST","","1","FA","OreSt Sat 12:00PM","418","27.87","100%","106.13","9","100%"
"Michigan State","MSU","DST","","2","FA","UtSt Fri 7:00PM","382","29.38","100%","146.32","3","100%"
"Wisconsin","Wisc","DST","","3","FA","W Ky Fri 9:00PM","310","22.14","100%","45.33","5","100%"
"Minnesota","Minn","DST","","4","FA","NMSt Thu 7:00PM","306","23.54","4%","400.14","5","0%"
"Penn State","PSU","DST","","5","FA","App Sat 3:30PM","304","23.38","100%","101.81","6","100%"
"Nebraska","Neb","DST","","6","FA","Akr Sat 8:00PM","280","21.54","4%","495.5","9","0%"
"Maryland","MD","DST","","7","FA","Tex Sat 12:00PM","254","19.54","0%","-","5","0%"
"Iowa","Iowa","DST","","8","FA","NIU Sat 3:30PM","246","18.92","14%","209.52","5","0%"
"Northwestern","NW","DST","","9","FA","@Purd Thu 8:00PM","244","20.33","9%","260.4","4","0%"
"Michigan","Mich","DST","","10","FA","@ND Sat 7:30PM","218","18.17","100%","102.32","9","100%"
"Morgan, Teldrick","MD","WR,FLX","Sr","11","FA","Tex Sat 12:00PM","213","19.36","0%","-","5","0%"
"Rutgers","Rut","DST","","12","FA","TxSt Sat 12:00PM","204","15.69","0%","-","9","0%"
"Illinois","Ill","DST","","13","FA","Kent Sat 12:00PM","198","15.23","0%","-","5","0%"
"Hilliman, Jonathan","Rut","RB,FLX","Sr","14","FA","TxSt Sat 12:00PM","176.5","13.58","62%","-","9","0%"
"Purdue","Purd","DST","","15","FA","NW Thu 8:00PM","174","14.5","4%","363.9","6","100%"
"Indiana","Ind","DST","","16","FA","@FLInt Sat 7:00PM","174","14.5","4%","348.2","10","0%"
"Dudek, Mike","Ill","WR,FLX","Sr","17","FA","Kent Sat 12:00PM","170.5","13.12","14%","193.95","5","0%"
"Nuernberger, Sean","OHSt","K","Sr","18","FA","OreSt Sat 12:00PM","135.5","9.03","100%","115.08","9","100%"
"Gaglianone, Rafael","Wisc","K","Sr","19","FA","W Ky Fri 9:00PM","129.5","9.96","100%","172.66","5","0%"
"James, Chris","Wisc","RB,FLX","Sr","20","FA","W Ky Fri 9:00PM","70.5","5.88","0%","443.2","5","0%"
"Harris II, J-Shun","Ind","WR,FLX","Sr","21","FA","@FLInt Sat 7:00PM","66.5","5.54","0%","-","10","0%"
"Vault, Solomon","NW","WR,FLX","Sr","22","FA","@Purd Thu 8:00PM","57.5","8.21","0%","-","4","0%"
"Macius, Mickey","MSU","QB,FLX","Sr","23","FA","UtSt Fri 7:00PM","51.5","7.36","0%","-","3","0%"
"Edwards, Berkley","Mich","RB,FLX","Sr","24","WW","@ND Sat 7:30PM","25.5","2.55","0%","-","9","0%"
"Line, Ben","MSU","RB,FLX","Sr","25","FA","UtSt Fri 7:00PM","6","1.5","0%","-","3","0%"
"Dixon, Johnnie","OHSt","WR,FLX","Sr","26","FA","OreSt Sat 12:00PM","2","2","3%","350.91","9","0%"
"Davis III, Felton","MSU","WR,FLX","Sr","27","FA","UtSt Fri 7:00PM","0","0","100%","99.7","3","100%"
"Dobbins, J.K.","OHSt","RB,FLX","So","28","FA","OreSt Sat 12:00PM","0","0","100%","23.28","9","100%"
