"Player","Team","Position","Year","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned","+/-","GP","Yds","TD","Int","2Pa","Yds","TD","2Rc","Yds","TD","2Ru","FL","RtY","RtT"
"Davis III, Felton","MSU","WR,FLX","Sr","1","FA","UtSt Fri 7:00PM","0","0","3","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dobbins, J.K.","OHSt","RB,FLX","So","2","FA","OreSt Sat 12:00PM","0","0","9","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Fant, Noah","Iowa","TE,FLX","Jr","3","FA","NIU Sat 3:30PM","0","0","5","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Haskins, Dwayne","OHSt","QB,FLX","So","4","FA","OreSt Sat 12:00PM","0","0","9","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Higdon, Karan","Mich","RB,FLX","Sr","5","FA","@ND Sat 7:30PM","0","0","9","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Larkin, Jeremy","NW","RB,FLX","So","6","FA","@Purd Thu 8:00PM","0","0","4","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lewerke, Brian","MSU","QB,FLX","Jr","7","FA","UtSt Fri 7:00PM","0","0","3","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Martinez, Adrian","Neb","QB,FLX","Fr","8","FA","Akr Sat 8:00PM","0","0","9","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"McSorley, Trace","PSU","QB,FLX","Sr","9","FA","App Sat 3:30PM","0","0","6","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Morgan Jr., Stanley","Neb","WR,FLX","Sr","10","FA","Akr Sat 8:00PM","0","0","9","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Patterson, Shea","Mich","QB,FLX","Jr","11","FA","@ND Sat 7:30PM","0","0","9","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
