"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned","+/-","GP","PA","YdA","Stf","Sk","Sft","FF","FR","Int","TDDST","XPB","FGBA"
"Ohio State","OHSt","DST","1","FA","OreSt Sat 12:00PM","398","30.62","9","100%","0%","13","186","3,405","0","23","1","26","11","19","6","0","0"
"Nebraska","Neb","DST","2","FA","Akr Sat 8:00PM","352","25.14","9","0%","0%","14","243","4,295","0","31","0","16","4","19","6","0","0"
"Maryland","MD","DST","3","FA","Tex Sat 12:00PM","338","26","5","0%","0%","13","288","4,580","0","28","0","24","10","19","6","1","0"
"Iowa","Iowa","DST","4","FA","NIU Sat 3:30PM","322","24.77","5","0%","0%","13","221","4,317","0","21","1","11","5","19","6","2","0"
"Wisconsin","Wisc","DST","5","FA","W Ky Fri 9:00PM","286","22","5","100%","0%","13","267","4,183","0","23","0","17","9","14","5","0","0"
"Illinois","Ill","DST","6","FA","Kent Sat 12:00PM","284","21.85","5","0%","0%","13","305","4,567","0","23","1","24","16","11","3","0","0"
"Michigan State","MSU","DST","7","FA","UtSt Fri 7:00PM","252","19.38","3","100%","0%","13","290","4,599","0","20","0","20","7","17","1","0","0"
"Rutgers","Rut","DST","8","FA","TxSt Sat 12:00PM","250","20.83","9","0%","0%","12","318","4,490","0","17","0","24","14","8","3","0","0"
"Purdue","Purd","DST","9","FA","NW Thu 8:00PM","244","20.33","6","100%","0%","12","345","4,428","0","33","1","25","11","10","2","0","0"
"Penn State","PSU","DST","10","FA","App Sat 3:30PM","232","17.85","6","100%","0%","13","308","4,509","0","17","1","18","7","10","2","0","0"
"Northwestern","NW","DST","11","FA","@Purd Thu 8:00PM","226","17.38","4","0%","0%","13","377","5,540","0","17","0","14","7","15","4","2","0"
"Michigan","Mich","DST","12","FA","@ND Sat 7:30PM","168","12.92","9","100%","0%","13","458","5,860","0","18","1","12","7","12","1","0","0"
"Indiana","Ind","DST","13","FA","@FLInt Sat 7:00PM","150","12.5","10","0%","0%","12","408","4,922","0","15","0","12","5","8","1","0","0"
"Minnesota","Minn","DST","14","FA","NMSt Thu 7:00PM","142","11.83","5","0%","0%","12","396","4,706","0","9","0","14","8","11","0","0","0"
