"Player","Team","Position","Year","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned","+/-","GP","FRTDY","Int","IntYd","Sk","SkY","Tk","Stf","StY","Sft","RtTY","BFGTDY","TD"
"Davis, Isaiah","MD","LB","Jr","38","FA","Tex Sat 12:00PM","148","12.33","5","-","-","12","0","0","0","0.0","0","70","2","8","0","0","0","0"
"Green, Stanley","Ill","DB","Jr","39","FA","Kent Sat 12:00PM","147.9","16.43","5","-","-","9","0","1","19","0.0","0","70","0","0","0","0","0","0"
"Mosley, Navon","Purd","DB","Jr","40","FA","NW Thu 8:00PM","146.7","11.28","6","-","-","13","0","2","7","0.0","0","65","1","4","0","0","0","0"
"Gervase, Jake","Iowa","DB","Sr","41","FA","NIU Sat 3:30PM","146.4","12.2","5","-","-","12","0","3","29","0.0","0","58","3","7","0","0","0","0"
"Dixon, D'Cota","Wisc","DB","Sr","42","FA","W Ky Fri 9:00PM","144.9","12.08","5","-","-","12","0","1","-1","2.0","10","55","3.5","18","0","0","0","0"
"Borland, Tuf","OHSt","LB","So","43","FA","OreSt Sat 12:00PM","139","12.64","9","-","-","11","0","0","0","1.0","10","58","3.5","14","0","0","0","0"
"Crawford, Jonathan","Ind","DB","Sr","44","FA","@FLInt Sat 7:00PM","138","11.5","10","-","-","12","0","1","0","0.0","0","61","3","8","0","0","0","0"
"Hartage, Montre","NW","DB","Sr","45","FA","@Purd Thu 8:00PM","138","10.62","4","-","-","13","0","3","0","0.0","0","57","2","4","0","0","0","0"
"Dowell, David","MSU","DB","Jr","46","FA","UtSt Fri 7:00PM","137.8","11.48","3","-","-","12","0","5","78","0.0","0","50","0","0","0","0","0","0"
"Hooker, Amani","Iowa","DB","Jr","47","FA","NIU Sat 3:30PM","133","16.62","5","-","-","8","0","2","30","0.0","0","56","0","0","0","0","0","1"
"Orr, Chris","Wisc","LB","Jr","48","FA","W Ky Fri 9:00PM","131.3","14.59","5","-","-","9","0","1","78","3.0","17","37","4","18","0","0","0","1"
