"Player","Team","Position","Year","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned","+/-","GP","Yds","TD","Int","2Pa","Yds","TD","2Rc","Yds","TD","2Ru","FL","RtY","RtT"
"Jones, Markell","Purd","RB,FLX","Sr","46","FA","NW Thu 8:00PM","82.5","8.25","6","0%","0%","10","0","0","0","0","54","0","0","566","1","0","1","29","0"
"Kelly-Martin, Ivory","Iowa","RB,FLX","So","47","FA","NIU Sat 3:30PM","81","7.36","5","0%","0%","11","0","0","0","0","25","1","0","184","3","0","1","404","0"
"Ozigbo, Devine","Neb","RB,FLX","Sr","48","FA","Akr Sat 8:00PM","79.5","7.95","9","0%","0%","10","0","0","0","0","123","0","0","493","3","0","1","0","0"
"Timian, Luke","Ind","WR,FLX","Sr","49","FA","@FLInt Sat 7:00PM","79.5","6.62","10","0%","0%","12","0","0","0","0","589","2","0","7","0","0","0","90","0"
"Johnson, Juwan","PSU","WR,FLX","Jr","50","FA","App Sat 3:30PM","78.5","6.04","6","0%","0%","13","0","0","0","0","701","1","0","0","0","0","0","1","0"
"McLaurin, Terry","OHSt","WR,FLX","Sr","51","FA","OreSt Sat 12:00PM","78","6","9","0%","0%","13","0","0","0","0","436","6","0","0","0","0","0","0","0"
"Wilbon, Mikale","Neb","RB,FLX","Sr","52","FA","Akr Sat 8:00PM","76.5","6.95","9","0%","0%","11","0","0","0","0","80","0","0","379","6","0","0","0","0"
"Victor, Binjimen","OHSt","WR,FLX","Jr","53","FA","OreSt Sat 12:00PM","73","8.11","9","0%","0%","9","0","0","0","0","349","7","0","0","0","0","0","0","0"
"Davis III, Danny","Wisc","WR,FLX","So","54","FA","W Ky Fri 9:00PM","71.5","7.15","5","0%","0%","10","0","0","0","0","418","5","0","9","0","0","0","23","0"
"Easley, Nick","Iowa","WR,FLX","Sr","55","FA","NIU Sat 3:30PM","68.5","5.27","5","0%","0%","13","0","0","0","0","530","4","0","11","0","0","1","0","0"
"Epstein, Mike","Ill","RB,FLX","So","56","FA","Kent Sat 12:00PM","68","13.6","5","0%","0%","5","0","0","0","0","59","1","0","346","3","0","0","19","0"
"Smalling, Ricky","Ill","WR,FLX","So","57","FA","Kent Sat 12:00PM","65.5","5.95","5","0%","0%","11","0","0","0","0","510","2","0","0","0","0","0","0","0"
"Peters, Brandon","Mich","QB,FLX","Jr","58","FA","@ND Sat 7:30PM","65","10.83","9","0%","0%","6","672","4","2","0","0","0","0","-36","0","0","2","0","0"
"Worship, Richie","Purd","RB,FLX","Jr","59","FA","NW Thu 8:00PM","64.5","6.45","6","0%","0%","10","0","0","0","0","73","2","0","257","3","0","0","63","0"
"Peoples-Jones, Donovan","Mich","WR,FLX","So","60","FA","@ND Sat 7:30PM","62","4.77","9","0%","0%","13","0","0","0","0","277","0","0","57","0","0","1","320","1"
"Haskins, Dwayne","OHSt","QB,FLX","So","61","FA","OreSt Sat 12:00PM","61.5","7.69","9","100%","0%","8","565","4","1","0","0","0","0","86","0","0","2","0","0"
"Shaw, Bradrick","Wisc","RB,FLX","Jr","62","FA","W Ky Fri 9:00PM","59.5","5.41","5","0%","0%","11","0","0","0","0","21","0","0","365","4","0","0","0","0"
"Gest, Cole","Ind","RB,FLX","So","63","FA","@FLInt Sat 7:00PM","59","5.9","10","0%","0%","10","0","0","0","0","83","1","0","428","1","0","1","21","0"
"Lees, Riley","NW","WR,FLX","So","64","FA","@Purd Thu 8:00PM","59","4.54","4","0%","0%","13","0","0","0","0","235","2","0","0","0","0","0","302","0"
"Dorsey, Lou","Ill","TE,FLX","So","65","FA","Kent Sat 12:00PM","58.5","6.5","5","0%","0%","9","0","0","0","0","395","3","0","0","0","0","0","0","0"
"Philyor, Whop","Ind","WR,FLX","So","66","FA","@FLInt Sat 7:00PM","58.5","5.85","10","0%","0%","10","0","0","0","0","335","3","0","15","0","0","0","66","0"
"Bryant, Tre","Neb","RB,FLX","Jr","67","FA","Akr Sat 8:00PM","57","28.5","9","0%","0%","2","0","0","0","0","0","0","0","299","2","0","0","0","0"
"Heyward, Connor","MSU","RB,FLX","So","68","FA","UtSt Fri 7:00PM","56.5","6.28","3","0%","0%","9","0","0","0","0","13","1","0","10","0","0","0","442","0"
"Nagel, Flynn","NW","WR,FLX","Sr","69","FA","@Purd Thu 8:00PM","56.5","4.35","4","0%","0%","13","0","0","0","0","480","2","0","4","0","0","0","16","0"
"Funk, Jake","MD","RB,FLX","Jr","70","FA","Tex Sat 12:00PM","56","4.67","5","0%","0%","12","3","0","0","0","4","1","0","145","4","0","1","166","0"
"Rescigno, Giovanni","Rut","QB,FLX","Sr","71","FA","TxSt Sat 12:00PM","55.5","6.17","9","0%","0%","9","517","2","1","0","0","0","0","153","1","0","2","0","0"
"Hopkins, Brycen","Purd","TE,FLX","Jr","72","FA","NW Thu 8:00PM","49.5","4.5","6","0%","0%","11","0","0","0","0","349","3","0","0","0","0","0","0","0"
"Fuller, Tario","Purd","RB,FLX","Jr","73","FA","NW Thu 8:00PM","48.5","16.17","6","0%","0%","3","0","0","0","0","37","0","0","261","2","0","0","0","0"
"Herdman, Cole","Purd","TE,FLX","Sr","74","FA","NW Thu 8:00PM","46.5","3.88","6","0%","0%","12","0","0","0","0","331","3","0","0","0","0","0","0","0"
"Leake, Javon","MD","RB,FLX","So","75","FA","Tex Sat 12:00PM","46.5","6.64","5","0%","0%","7","0","0","0","0","0","0","0","99","2","0","1","274","0"
"Hockenson, T.J.","Iowa","TE,FLX","So","76","FA","NIU Sat 3:30PM","46","4.6","5","0%","0%","10","0","0","0","0","320","3","0","0","0","0","0","0","0"
"Lewis, Johnathan","Rut","QB,FLX","So","77","FA","TxSt Sat 12:00PM","44","6.29","9","0%","0%","7","167","2","4","0","0","0","0","111","4","0","0","0","0"
"Mack, Austin","OHSt","WR,FLX","Jr","78","FA","OreSt Sat 12:00PM","44","4","9","0%","0%","11","0","0","0","0","343","2","0","0","0","0","0","0","0"
"McKeon, Sean","Mich","TE,FLX","Jr","79","FA","@ND Sat 7:30PM","43.5","3.62","9","0%","0%","12","0","0","0","0","301","3","0","0","0","0","1","0","0"
"Harris II, J-Shun","Ind","WR,FLX","Sr","80","FA","@FLInt Sat 7:00PM","41.5","5.93","10","0%","0%","7","0","0","0","0","14","0","0","0","0","0","1","279","2"
"Bonner, Ra'Von","Ill","RB,FLX","So","81","FA","Kent Sat 12:00PM","40.5","6.75","5","0%","0%","6","0","0","0","0","5","0","0","202","4","0","1","0","0"
"Thomas, Cam","Ill","QB,FLX","So","82","FA","Kent Sat 12:00PM","40","10","5","0%","0%","4","375","0","5","0","0","0","0","233","1","0","1","0","0"
"Gentry, Zach","Mich","TE,FLX","Sr","83","FA","@ND Sat 7:30PM","39.5","4.39","9","0%","0%","9","0","0","0","0","303","2","0","0","0","0","0","0","0"
"Hill, Kasim","MD","QB,FLX","Fr","84","FA","Tex Sat 12:00PM","39.5","13.17","5","0%","0%","3","230","2","0","0","0","0","0","60","1","0","0","0","0"
"Groshek, Garrett","Wisc","RB,FLX","So","85","FA","W Ky Fri 9:00PM","39","3","5","0%","0%","13","9","0","0","0","40","0","0","297","2","0","0","0","0"
"Pryor, Kendric","Wisc","WR,FLX","So","86","FA","W Ky Fri 9:00PM","38","4.22","5","0%","0%","9","0","0","0","0","179","1","0","63","2","0","0","0","0"
"Smith-Marsette, Ihmir","Iowa","WR,FLX","So","87","FA","NIU Sat 3:30PM","37","3.36","5","0%","0%","11","0","0","0","0","187","2","0","41","0","0","1","134","0"
"Dudek, Mike","Ill","WR,FLX","Sr","88","FA","Kent Sat 12:00PM","36.5","5.21","5","0%","0%","7","0","0","0","0","262","1","1","0","0","0","0","65","0"
"Pigrome, Tyrrell","MD","QB,FLX","So","89","FA","Tex Sat 12:00PM","36","36","5","0%","0%","1","175","2","1","0","0","0","0","64","1","0","0","0","0"
"Vedral, Noah","Neb","QB,FLX","So","90","FA","Akr Sat 8:00PM","36","6","9","0%","0%","6","276","1","0","0","0","0","0","77","2","0","0","0","0"
"Sparks, Jared","Purd","QB,WR,FLX","So","91","FA","NW Thu 8:00PM","35.5","3.23","6","0%","0%","11","0","0","0","0","222","0","0","123","0","0","0","0","0"
"Sanders, Miles","PSU","RB,FLX","Jr","92","FA","App Sat 3:30PM","35","3.5","6","100%","0%","10","0","0","0","0","30","0","0","191","2","0","0","76","0"
"Brown, Dre","Ill","RB,FLX","Jr","93","FA","Kent Sat 12:00PM","33.5","8.38","5","0%","0%","4","0","0","0","0","8","0","0","138","0","0","0","167","0"
"Edwards, Berkley","Mich","RB,FLX","Sr","94","WW","@ND Sat 7:30PM","33.5","4.19","9","0%","0%","8","0","0","0","0","5","0","0","15","0","0","0","340","0"
"Perry, Grant","Mich","WR,FLX","Sr","95","FA","@ND Sat 7:30PM","33","3.67","9","0%","0%","9","0","0","0","0","307","1","0","0","0","0","0","0","0"
"Young, Toren","Iowa","RB,FLX","So","96","FA","NIU Sat 3:30PM","32","5.33","5","0%","0%","6","0","0","0","0","23","0","0","193","2","0","0","0","0"
"McCall, Demario","OHSt","RB,WR,FLX","So","97","FA","OreSt Sat 12:00PM","31.5","10.5","9","0%","0%","3","0","0","0","0","51","1","0","111","1","0","0","35","0"
"James, Chris","Wisc","RB,FLX","Sr","98","FA","W Ky Fri 9:00PM","28.5","3.17","5","0%","0%","9","0","0","0","0","36","0","0","233","1","0","1","0","0"
"Washington, Jerome","Rut","TE,FLX","Sr","99","FA","TxSt Sat 12:00PM","28","2.55","9","0%","0%","11","0","0","0","0","282","1","0","-2","0","0","0","0","0"
"Saunders, C.J.","OHSt","WR,FLX","Sr","100","FA","OreSt Sat 12:00PM","26.5","3.31","9","0%","0%","8","0","0","0","0","221","1","0","0","0","0","0","0","0"
"Ingold, Alec","Wisc","RB,FLX","Sr","101","FA","W Ky Fri 9:00PM","26","3.71","5","0%","0%","7","0","0","0","0","37","1","0","25","3","0","0","0","0"
"Green, Cameron","NW","TE,FLX","Jr","102","FA","@Purd Thu 8:00PM","25","3.12","4","0%","0%","8","0","0","0","0","170","2","1","0","0","0","1","0","0"
"Sokol, Matt","MSU","TE,FLX","Sr","103","FA","UtSt Fri 7:00PM","25","2.08","3","0%","0%","12","0","0","0","0","222","1","0","-4","0","0","0","0","0"
"Johnson, Hunter","NW","QB,FLX","So","104","FA","@Purd Thu 8:00PM","24","3.43","4","0%","0%","7","234","2","1","0","0","0","0","-4","0","0","0","0","0"
"Brookins, Ricky","Ind","RB,FLX","Sr","105","FA","@FLInt Sat 7:00PM","23","2.3","10","0%","0%","10","0","0","0","0","124","0","0","88","1","0","0","0","0"
"Bradley, Jaylin","Neb","RB,FLX","So","106","FA","Akr Sat 8:00PM","22.5","4.5","9","0%","0%","5","0","0","0","0","38","0","0","93","0","0","0","124","0"
"Wright, Terry","Purd","WR,FLX","Sr","107","FA","NW Thu 8:00PM","22","2.2","6","0%","0%","10","0","0","0","0","274","0","0","45","0","0","2","0","0"
"Black, Tarik","Mich","WR,FLX","So","108","FA","@ND Sat 7:30PM","21.5","7.17","9","0%","0%","3","0","0","0","0","149","1","0","0","0","0","0","0","0"
"Bush, AJ","Ill","QB,FLX","Sr","109","WW","Kent Sat 12:00PM","21","4.2","5","0%","0%","5","99","1","0","0","0","0","0","129","0","0","0","0","0"
"Polk, Brandon","PSU","WR,FLX","Jr","110","FA","App Sat 3:30PM","20","2.22","6","0%","0%","9","0","0","0","0","130","1","0","0","0","0","0","60","0"
"Stoll, Jack","Neb","TE,FLX","So","111","FA","Akr Sat 8:00PM","20","4","9","0%","0%","6","0","0","0","0","89","2","0","0","0","0","0","0","0"
"Berry, Rashod","OHSt","TE,FLX","Jr","112","FA","OreSt Sat 12:00PM","18","6","9","0%","0%","3","0","0","0","0","100","2","0","0","0","0","1","0","0"
"Moten IV, John","NW","RB,FLX","Jr","113","FA","@Purd Thu 8:00PM","17.5","2.92","4","0%","0%","6","0","0","0","0","0","0","0","55","0","0","0","151","0"
"Neuville, Zander","Wisc","TE,FLX","Sr","114","FA","W Ky Fri 9:00PM","17","2.43","5","0%","0%","7","0","0","0","0","81","2","0","0","0","0","0","0","0"
"Roberts, Jelani","NW","WR,FLX","Sr","115","FA","@Purd Thu 8:00PM","17","2.83","4","0%","0%","6","0","0","0","0","0","0","0","98","2","0","1","0","0"
"Burgess, Jarrett","Purd","WR,FLX","Sr","116","FA","NW Thu 8:00PM","16.5","4.12","6","0%","0%","4","0","0","0","0","130","1","0","0","0","0","1","0","0"
"Hale, Donavan","Ind","WR,FLX","Jr","117","FA","@FLInt Sat 7:00PM","16.5","8.25","10","0%","0%","2","0","0","0","0","116","1","0","0","0","0","0","0","0"
"Brown, Jesse","NW","RB,FLX","So","118","FA","@Purd Thu 8:00PM","16","1.78","4","0%","0%","9","0","0","0","0","0","0","0","64","2","0","0","0","0"
"Davis, Trenard","Ill","WR,FLX","Jr","119","FA","Kent Sat 12:00PM","13","2.17","5","0%","0%","6","7","0","0","0","152","0","0","0","0","0","0","0","0"
"Mason, Ben","Mich","RB,FLX","So","120","FA","@ND Sat 7:30PM","12","2.4","9","0%","0%","5","0","0","0","0","0","0","0","4","2","0","0","0","0"
"Griffin-Stewart, Nakia","Rut","TE,FLX","Jr","121","FA","TxSt Sat 12:00PM","11","1.22","9","0%","0%","9","0","0","0","0","87","1","0","0","0","0","0","0","0"
"Howard, Phillip","Minn","WR,FLX","So","122","FA","NMSt Thu 7:00PM","10","1.67","5","0%","0%","6","0","0","0","0","132","0","0","12","0","0","0","0","0"
"Penniston, Kyle","Wisc","TE,FLX","Jr","123","FA","W Ky Fri 9:00PM","9","1.8","5","0%","0%","5","0","0","0","0","56","1","0","0","0","0","0","0","0"
"Corbin, Reggie","Ill","RB,FLX","Jr","124","FA","Kent Sat 12:00PM","8.5","1.21","5","0%","0%","7","0","0","0","0","27","0","0","78","0","0","0","0","0"
"Majette, Mike","Ind","RB,FLX","Sr","125","FA","@FLInt Sat 7:00PM","8","2","10","0%","0%","4","0","0","0","0","90","0","0","22","0","0","0","0","0"
"Reams, Caleb","Ill","WR,TE,FLX","Jr","126","FA","Kent Sat 12:00PM","8","2.67","5","0%","0%","3","0","0","0","0","32","1","0","0","0","0","0","0","0"
"Reimers, Bryan","Neb","WR,FLX","Sr","127","FA","Akr Sat 8:00PM","8","4","9","0%","0%","2","0","0","0","0","25","1","0","0","0","0","0","0","0"
"Zico, Isaac","Purd","WR,FLX","Sr","128","FA","NW Thu 8:00PM","8","2","6","0%","0%","4","0","0","0","0","34","1","0","0","0","0","0","0","0"
"Bowers, Nick","PSU","TE,FLX","Jr","129","FA","App Sat 3:30PM","7","7","6","0%","0%","1","0","0","0","0","15","1","0","0","0","0","0","0","0"
"Douglas, Demetrius","Minn","WR,FLX","So","130","FA","NMSt Thu 7:00PM","7","2.33","5","0%","0%","3","0","0","0","0","83","0","0","3","0","0","0","0","0"
"Melton, Bo","Rut","WR,FLX","So","131","FA","TxSt Sat 12:00PM","7","1.4","9","0%","0%","5","0","0","0","0","83","0","0","0","0","0","0","0","0"
"Eubanks, Nick","Mich","TE,FLX","Jr","132","FA","@ND Sat 7:30PM","6.5","6.5","9","0%","0%","1","0","0","0","0","61","0","0","0","0","0","0","0","0"
"Catlett, Keyron","Purd","WR,FLX","So","133","FA","NW Thu 8:00PM","6","3","6","0%","0%","2","0","0","0","0","0","0","0","0","0","0","0","62","0"
"Chiaokhiao-Bowman, Ramaud","NW","WR,FLX","So","134","FA","@Purd Thu 8:00PM","6","1.5","4","0%","0%","4","0","0","0","0","35","1","0","0","0","0","1","0","0"
"Davenport, Jahrvis","MD","WR,FLX","Sr","135","FA","Tex Sat 12:00PM","6","0.75","5","0%","0%","8","0","0","0","0","123","0","0","0","0","0","1","0","0"
"Miller, Cam","Ill","QB,FLX","So","136","FA","Kent Sat 12:00PM","6","3","5","0%","0%","2","0","0","0","0","0","0","0","9","1","0","0","0","0"
"Chambers, Cam","MSU","WR,FLX","So","137","FA","UtSt Fri 7:00PM","5","1.25","3","0%","0%","4","0","0","0","0","66","0","0","0","0","0","0","0","0"
"Fessler, Charlie","NW","WR,FLX","Jr","138","FA","@Purd Thu 8:00PM","5","2.5","4","0%","0%","2","0","0","0","0","66","0","0","0","0","0","0","0","0"
"Lindsey, Tyjon","Neb","WR,FLX","So","139","FA","Akr Sat 8:00PM","5","0.5","9","0%","0%","10","0","0","0","0","76","0","0","4","0","0","0","17","0"
"Hayek, Hunter","Rut","WR,FLX","So","140","FA","TxSt Sat 12:00PM","4","0.57","9","0%","0%","7","-8","0","0","0","62","0","0","0","0","0","1","8","0"
"Nelson, Laress","MSU","WR,FLX","So","141","FA","UtSt Fri 7:00PM","4","0.57","3","0%","0%","7","0","0","0","0","29","0","0","2","0","0","0","34","0"
"Welch, Andre","MSU","WR,FLX","So","142","FA","UtSt Fri 7:00PM","4","1.33","3","0%","0%","3","0","0","0","0","0","0","0","0","0","0","0","61","0"
"Allen, Mark","PSU","RB,FLX","Sr","143","FA","App Sat 3:30PM","3","0.75","6","0%","0%","4","0","0","0","0","0","0","0","38","0","0","0","10","0"
"Femi-Cole, Jonathan","Minn","RB,FLX","Jr","144","FA","NMSt Thu 7:00PM","3","1","5","0%","0%","3","0","0","0","0","0","0","0","42","0","0","0","0","0"
"Green, Carmoni","Ill","WR,FLX","So","145","FA","Kent Sat 12:00PM","3","0.75","5","0%","0%","4","0","0","0","0","75","0","0","0","0","0","1","-4","0"
"Holmes, C.J.","PSU","RB,FLX","So","146","WW","App Sat 3:30PM","3","1","6","0%","0%","3","0","0","0","0","0","0","0","32","0","0","0","0","0"
"James, Jace","NW","WR,FLX","So","147","FA","@Purd Thu 8:00PM","3","1.5","4","0%","0%","2","0","0","0","0","41","0","0","0","0","0","0","0","0"
"Watercutter, Ryan","Ind","TE,FLX","Sr","148","FA","@FLInt Sat 7:00PM","3","0.33","10","0%","0%","9","0","0","0","0","69","0","0","0","0","0","0","0","0"
"Young, Conor","Neb","WR,FLX","Jr","149","FA","Akr Sat 8:00PM","3","3","9","0%","0%","1","0","0","0","0","31","0","0","0","0","0","0","0","0"
"Brown, Jalen","NW","WR,FLX","Sr","150","FA","@Purd Thu 8:00PM","2","1","4","0%","0%","2","0","0","0","0","33","0","0","0","0","0","0","0","0"
"Collins, Nico","Mich","WR,FLX","So","151","FA","@ND Sat 7:30PM","2","1","9","0%","0%","2","0","0","0","0","27","0","0","0","0","0","0","0","0"
"Davis, Noah","MSU","TE,FLX","So","152","FA","UtSt Fri 7:00PM","2","0.5","3","0%","0%","4","0","0","0","0","22","0","0","0","0","0","0","12","0"
"Harris, Jaylen","OHSt","WR,FLX","So","153","FA","OreSt Sat 12:00PM","2","2","9","0%","0%","1","0","0","0","0","27","0","0","0","0","0","0","0","0"
"Jabbie, Mohamed","Rut","WR,FLX","So","154","FA","TxSt Sat 12:00PM","2","0.33","9","0%","0%","6","0","0","0","0","19","0","0","0","0","0","0","11","0"
"Link, Cody","NW","TE,FLX","So","155","FA","@Purd Thu 8:00PM","2","","4","0%","0%","1","0","0","0","0","29","0","0","0","0","0","0","0","0"
"Schoenle, Nate","Mich","WR,FLX","Jr","156","FA","@ND Sat 7:30PM","2","0.29","9","0%","0%","7","0","0","0","0","41","0","0","0","0","0","0","0","0"
"Turner, DJ","MD","WR,FLX","Jr","157","FA","Tex Sat 12:00PM","2","0.33","5","0%","0%","6","0","0","0","0","32","0","0","0","0","0","0","0","0"
"Anthony, Max","Rut","RB,FLX","Jr","158","FA","TxSt Sat 12:00PM","1","1","9","0%","0%","1","0","0","0","0","17","0","0","0","0","0","0","0","0"
