"Player","Team","Position","Year","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned","+/-","GP","Yds","TD","Int","2Pa","Yds","TD","2Rc","Yds","TD","2Ru","FL","RtY","RtT"
"McSorley, Trace","PSU","QB,FLX","Sr","1","FA","App Sat 3:30PM","601","46.23","6","100%","0%","13","3,570","28","10","0","0","0","0","491","11","0","1","0","0"
"Lewerke, Brian","MSU","QB,FLX","Jr","2","FA","UtSt Fri 7:00PM","441","33.92","3","100%","0%","13","2,793","20","7","1","5","0","0","559","5","0","2","0","0"
"Thorson, Clayton","NW","QB,FLX","Sr","3","FA","@Purd Thu 8:00PM","384.5","29.58","4","0%","0%","13","2,844","15","12","1","24","0","0","23","8","0","1","0","0"
"Taylor, Jonathan","Wisc","RB,FLX","So","4","FA","W Ky Fri 9:00PM","370.5","26.46","5","100%","0%","14","0","0","0","0","95","0","0","1,977","13","0","6","0","0"
"Stanley, Nate","Iowa","QB,FLX","Jr","5","FA","NIU Sat 3:30PM","343.5","26.42","5","0%","0%","13","2,437","26","6","0","0","0","0","-115","0","0","5","0","0"
"Hornibrook, Alex","Wisc","QB,FLX","Jr","6","FA","W Ky Fri 9:00PM","338.5","24.18","5","0%","0%","14","2,644","25","15","1","9","0","0","-101","0","0","1","0","0"
"Patterson, Shea","Mich","QB,FLX","Jr","7","FA","@ND Sat 7:30PM","320.5","45.79","9","100%","0%","7","2,259","17","9","0","0","0","0","-16","1","0","0","0","0"
"Sindelar, Elijah","Purd","QB,FLX","Jr","8","FA","NW Thu 8:00PM","272","22.67","6","0%","0%","12","2,099","18","7","1","0","0","0","-76","0","0","1","0","0"
"Dobbins, J.K.","OHSt","RB,FLX","So","9","FA","OreSt Sat 12:00PM","241","17.21","9","100%","0%","14","0","0","0","0","135","1","0","1,403","7","0","1","0","0"
"Johnson, Ty","MD","RB,FLX","Sr","10","FA","Tex Sat 12:00PM","229.5","19.12","5","0%","0%","12","0","0","0","0","60","1","0","875","5","0","0","657","1"
"Higdon, Karan","Mich","RB,FLX","Sr","11","FA","@ND Sat 7:30PM","206","15.85","9","100%","0%","13","0","0","0","0","131","0","0","994","11","0","2","0","0"
"Spielman, JD","Neb","WR,FLX","So","12","FA","Akr Sat 8:00PM","203","18.45","9","0%","0%","11","0","0","0","0","830","2","0","73","0","0","0","669","1"
"Ramsey, Peyton","Ind","QB,FLX","So","13","FA","@FLInt Sat 7:00PM","182.5","22.81","10","0%","0%","8","1,252","10","5","0","0","0","0","227","2","0","0","0","0"
"Morgan Jr., Stanley","Neb","WR,FLX","Sr","14","FA","Akr Sat 8:00PM","182","16.55","9","100%","0%","11","0","0","0","0","986","10","0","2","0","0","1","16","0"
"Smith, Rodney","Minn","RB,FLX","Sr","15","FA","NMSt Thu 7:00PM","178.5","14.88","5","100%","0%","12","0","0","0","0","107","0","0","977","3","0","2","363","1"
"Dawkins, Brandon","Ind","QB,FLX","Sr","16","FA","@FLInt Sat 7:00PM","177","25.29","10","0%","0%","7","732","5","4","0","0","0","0","459","8","0","2","0","0"
"Scott, LJ","MSU","RB,FLX","Sr","17","FA","UtSt Fri 7:00PM","167","13.92","3","0%","0%","12","0","0","0","0","146","1","0","898","8","0","4","0","0"
"Bortenschlager, Max","MD","QB,FLX","Jr","18","FA","Tex Sat 12:00PM","162","14.73","5","0%","0%","11","1,313","10","5","0","0","0","0","13","2","0","3","0","0"
"Blough, David","Purd","QB,FLX","Sr","19","FA","NW Thu 8:00PM","153","17","6","0%","0%","9","1,103","9","4","0","24","0","0","103","2","0","0","0","0"
"Davis III, Felton","MSU","WR,FLX","Sr","20","FA","UtSt Fri 7:00PM","149.5","13.59","3","100%","0%","11","0","0","0","0","776","9","0","16","0","0","0","0","0"
"Weber, Mike","OHSt","RB,FLX","Jr","21","FA","OreSt Sat 12:00PM","149.5","12.46","9","100%","0%","12","0","0","0","0","94","0","0","626","10","0","1","143","0"
"Evans, Chris","Mich","RB,FLX","Jr","22","FA","@ND Sat 7:30PM","132.5","10.19","9","0%","0%","13","0","0","0","0","157","1","0","685","6","0","1","0","0"
"George, Jeff","Mich","QB,FLX","Sr","23","WW","@ND Sat 7:30PM","132.5","18.93","9","0%","0%","7","1,273","7","10","1","-1","0","0","-81","0","0","3","0","0"
"Campbell, Parris","OHSt","WR,FLX","Sr","24","FA","OreSt Sat 12:00PM","122.5","9.42","9","0%","0%","13","0","0","0","0","584","3","0","132","1","0","2","329","0"
"Johnson, Tyler","Minn","WR,FLX","Jr","25","FA","NMSt Thu 7:00PM","120","12","5","0%","0%","10","0","0","0","0","677","7","0","0","0","0","0","0","0"
"Ellison, Morgan","Ind","RB,FLX","So","26","FA","@FLInt Sat 7:00PM","118","10.73","10","0%","0%","11","0","0","0","0","60","0","0","704","6","0","2","0","0"
"Knox, D.J.","Purd","RB,FLX","Sr","27","FA","NW Thu 8:00PM","118","9.08","6","0%","0%","13","0","0","0","0","148","2","0","561","2","0","0","293","0"
"Fant, Noah","Iowa","TE,FLX","Jr","28","FA","NIU Sat 3:30PM","115","9.58","5","100%","0%","12","0","0","0","0","494","11","0","-1","0","0","0","0","0"
"Hilliman, Jonathan","Rut","RB,FLX","Sr","29","FA","TxSt Sat 12:00PM","113.5","8.73","9","0%","0%","13","0","0","0","0","155","2","0","638","5","0","3","0","0"
"Brooks, Shannon","Minn","RB,FLX","Sr","30","FA","NMSt Thu 7:00PM","108.5","18.08","5","0%","0%","6","0","0","0","0","59","0","0","369","5","0","1","347","0"
"Taylor, A.J.","Wisc","WR,FLX","Jr","31","FA","W Ky Fri 9:00PM","107","7.64","5","0%","0%","14","0","0","0","0","475","5","0","26","0","0","0","329","0"
"Jacobs, Taivon","MD","WR,FLX","Sr","32","FA","Tex Sat 12:00PM","103.5","8.62","5","0%","0%","12","0","0","0","0","553","5","0","6","0","0","0","165","0"
"Blackshear, Raheem","Rut","RB,FLX","So","33","FA","TxSt Sat 12:00PM","102.5","10.25","9","0%","0%","10","0","0","0","0","133","2","0","238","3","0","0","334","0"
"Hill, K.J.","OHSt","WR,FLX","Jr","34","FA","OreSt Sat 12:00PM","102.5","7.32","9","0%","0%","14","0","0","0","0","549","3","0","1","0","0","1","294","0"
"Thompkins, DeAndre","PSU","WR,FLX","Sr","35","FA","App Sat 3:30PM","98","7.54","6","0%","0%","13","0","0","0","0","443","3","0","0","0","0","0","319","1"
"Larkin, Jeremy","NW","RB,FLX","So","36","FA","@Purd Thu 8:00PM","97","7.46","4","100%","0%","13","24","0","0","0","115","0","0","503","5","0","1","89","0"
"Skowronek, Bennett","NW","WR,FLX","Jr","37","FA","@Purd Thu 8:00PM","95.5","7.35","4","0%","0%","13","0","0","0","0","644","5","0","0","0","0","1","0","0"
"Dixon, Johnnie","OHSt","WR,FLX","Sr","38","FA","OreSt Sat 12:00PM","91.5","10.17","9","0%","0%","9","0","0","0","0","422","8","0","0","0","0","0","0","0"
"Navarro, Donny","Ill","WR,FLX","So","39","FA","Kent Sat 12:00PM","90","8.18","5","0%","0%","11","0","0","0","0","531","5","0","30","0","0","0","0","0"
"Stewart Jr., Darrell","MSU","WR,FLX","Jr","40","FA","UtSt Fri 7:00PM","89","6.85","3","0%","0%","13","0","0","0","0","501","2","0","140","0","0","0","172","0"
"Cephus, Quintez","Wisc","WR,FLX","Jr","41","FA","W Ky Fri 9:00PM","87","8.7","5","0%","0%","10","0","0","0","0","501","6","0","5","0","0","0","0","0"
"Stevens, Tommy","PSU","QB,FLX","Jr","42","FA","App Sat 3:30PM","84.5","10.56","6","0%","0%","8","158","3","0","0","60","2","0","190","4","0","0","0","0"
"Anthrop, Jackson","Purd","WR,FLX","So","43","FA","NW Thu 8:00PM","83.5","6.42","6","0%","0%","13","24","0","0","0","423","5","0","17","2","0","1","77","0"
"Harrison III, Lorenzo","MD","RB,FLX","Jr","44","FA","Tex Sat 12:00PM","83.5","6.96","5","0%","0%","12","0","0","0","0","36","0","0","622","3","0","0","0","0"
"White, Cody","MSU","WR,FLX","So","45","FA","UtSt Fri 7:00PM","83","7.55","3","0%","0%","11","0","0","0","0","490","4","1","19","0","0","1","22","0"
