"Player","Team","Position","Year","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned","+/-","GP","FRTDY","Int","IntYd","Sk","SkY","Tk","Stf","StY","Sft","RtTY","BFGTDY","TD"
"Edwards, T.J.","Wisc","LB","Sr","1","FA","W Ky Fri 9:00PM","254","19.54","5","-","-","13","0","3","0","3.0","24","89","8.5","34","0","0","0","0"
"Bailey, Markus","Purd","LB","Jr","2","FA","NW Thu 8:00PM","240.9","20.07","6","-","-","12","0","4","44","0.0","0","97","6","13","0","0","0","0"
"Aniebonam, Jesse","MD","DL","Sr","3","FA","Tex Sat 12:00PM","237.5","18.27","5","-","-","13","0","0","0","9.0","74","46","14","89","0","0","0","0"
"Morris, Trevor","Rut","LB","Sr","4","FA","TxSt Sat 12:00PM","225","18.75","9","-","-","12","0","0","0","1.0","7","102","3.5","13","0","0","0","0"
"Watson, Tre","MD","LB","Sr","5","FA","Tex Sat 12:00PM","219","19.91","5","-","-","11","0","0","0","0.0","0","102","4.5","12","0","0","0","0"
"Roberts, Deonte","Rut","LB","Sr","6","FA","TxSt Sat 12:00PM","199.2","16.6","9","-","-","12","0","1","7","0.0","0","91","3","9","0","0","0","0"
"Williams, Aaron","Neb","DB","Sr","7","FA","Akr Sat 8:00PM","182","14","9","-","-","13","0","3","0","2.0","18","62","6","22","0","0","0","0"
"Cashman, Blake","Minn","LB","Sr","8","FA","NMSt Thu 7:00PM","180.5","16.41","5","-","-","11","0","0","0","7.5","36","45","10.5","43","0","0","0","0"
"Bowen, Manny","PSU","LB","Sr","9","WW","App Sat 3:30PM","180","13.85","6","-","-","13","0","0","0","2.0","16","66","8.5","30","0","0","0","0"
"Ball, Marcelino","Ind","DB","So","10","FA","@FLInt Sat 7:00PM","176","13.54","10","-","-","13","0","2","-5","0.0","0","75","4.5","11","0","0","0","0"
"Dixon, D'Cota","Wisc","DB","Sr","11","FA","W Ky Fri 9:00PM","169.5","12.11","5","-","-","14","0","4","45","1.0","9","60","2.5","15","0","0","0","0"
"Hall, Nate","NW","LB","Sr","12","FA","@Purd Thu 8:00PM","166","12.77","4","-","-","13","0","0","0","0.0","0","73","6","16","0","0","0","0"
"Crawford, Jonathan","Ind","DB","Sr","13","FA","@FLInt Sat 7:00PM","165.1","12.7","10","-","-","13","0","3","16","0.0","0","72","0.5","1","0","0","0","0"
"Dowell, Andrew","MSU","LB","Sr","14","FA","UtSt Fri 7:00PM","162","13.5","3","-","-","12","0","1","0","1.0","6","67","3","18","0","0","0","0"
"Hartage, Montre","NW","DB","Sr","15","FA","@Purd Thu 8:00PM","157","12.08","4","-","-","13","0","5","70","0.0","0","60","0","0","0","0","0","0"
"Savage, Jr., Darnell","MD","DB","Sr","16","FA","Tex Sat 12:00PM","153.5","13.95","5","-","-","11","0","1","30","1.0","9","59","3.5","22","0","0","0","0"
"Connelly, Ryan","Wisc","LB","Sr","17","FA","W Ky Fri 9:00PM","151.9","13.81","5","-","-","11","12","1","12","0.0","0","59","7","11","0","0","0","1"
"Nelson, Anthony","Iowa","DL","Jr","18","FA","NIU Sat 3:30PM","147","11.31","5","-","-","13","0","0","0","6.0","39","33","8","43","0","0","0","0"
"Nelson, Matt","Iowa","DL","Sr","19","FA","NIU Sat 3:30PM","142","11.83","5","-","-","12","0","0","0","5.0","25","42","6","27","0","0","0","0"
"Young II, Dedrick","Neb","LB","Sr","20","FA","Akr Sat 8:00PM","136","11.33","9","-","-","12","0","0","0","1.0","3","60","4","5","0","0","0","0"
"Winovich, Chase","Mich","DL","Sr","21","FA","@ND Sat 7:30PM","134.5","10.35","9","-","-","13","0","0","0","5.0","30","32","8.5","37","0","0","0","0"
"Winfield Jr., Antoine","Minn","DB","Jr","22","FA","NMSt Thu 7:00PM","133.7","13.37","5","-","-","10","0","1","82","0.0","0","52","2.5","9","0","0","0","1"
"Hester, Kiy","Rut","DB","Sr","23","WW","TxSt Sat 12:00PM","131","16.38","9","-","-","8","0","0","0","1.0","6","51","6.5","18","0","0","0","0"
"Hesse, Parker","Iowa","DL","Sr","24","FA","NIU Sat 3:30PM","127","10.58","5","-","-","12","0","0","0","3.5","23","36","7.5","29","0","0","0","0"
"Bosa, Nick","OHSt","DL","Jr","25","FA","OreSt Sat 12:00PM","126","10.5","9","-","-","12","0","0","0","5.0","32","29","7","36","0","0","0","0"
"Green, Stanley","Ill","DB","Jr","26","FA","Kent Sat 12:00PM","124","15.5","5","-","-","8","0","0","0","0.0","0","62","0","0","0","0","0","0"
