"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned","+/-","GP","PA","YdA","Stf","Sk","Sft","FF","FR","Int","TDDST","XPB","FGBA"
"Nebraska","Neb","DST","1","FA","Akr Sat 8:00PM","426","30.43","9","0%","0%","14","146","3,808","0","44","0","26","8","20","0","0","0"
"Ohio State","OHSt","DST","2","FA","OreSt Sat 12:00PM","414","31.85","9","100%","0%","13","163","3,410","0","29","2","24","11","24","0","0","0"
"Rutgers","Rut","DST","3","FA","TxSt Sat 12:00PM","386","29.69","9","0%","0%","13","233","4,001","0","40","1","30","19","15","0","0","0"
"Iowa","Iowa","DST","4","FA","NIU Sat 3:30PM","350","26.92","5","0%","0%","13","200","3,595","0","30","1","20","9","21","0","1","0"
"Penn State","PSU","DST","5","FA","App Sat 3:30PM","338","26","6","100%","0%","13","159","3,568","0","37","1","11","9","14","0","0","0"
"Wisconsin","Wisc","DST","6","FA","W Ky Fri 9:00PM","316","24.31","5","100%","0%","13","283","3,974","0","37","0","16","12","15","0","0","0"
"Northwestern","NW","DST","7","FA","@Purd Thu 8:00PM","278","21.38","4","0%","0%","13","318","4,556","0","29","2","23","13","17","0","1","0"
"Minnesota","Minn","DST","8","FA","NMSt Thu 7:00PM","256","19.69","5","0%","0%","13","309","4,799","0","22","0","26","16","12","0","0","0"
"Purdue","Purd","DST","9","FA","NW Thu 8:00PM","232","19.33","6","100%","0%","12","349","4,519","0","31","0","24","12","12","0","1","0"
"Indiana","Ind","DST","10","FA","@FLInt Sat 7:00PM","232","19.33","10","0%","0%","12","354","4,812","0","25","1","22","13","16","0","0","0"
"Michigan State","MSU","DST","11","FA","UtSt Fri 7:00PM","212","16.31","3","100%","0%","13","342","4,951","0","33","0","14","8","6","0","1","0"
"Maryland","MD","DST","12","FA","Tex Sat 12:00PM","190","15.83","5","0%","0%","12","375","4,756","0","26","0","17","8","10","0","0","0"
"Michigan","Mich","DST","13","FA","@ND Sat 7:30PM","182","15.17","9","100%","0%","12","330","4,720","0","21","0","14","5","11","0","0","0"
"Illinois","Ill","DST","14","FA","Kent Sat 12:00PM","164","13.67","5","0%","0%","12","362","4,839","0","19","0","20","11","5","0","0","0"
